Site Pt,Area,Northing,Easting,Date Time,CH4 flux,H2S flux,CO2 flux,Pressure,Temp,CH4 slope,H2S slope,CO2 slope
baird125_22,Baird,1230639.75,2330842.382,29‐05‐2012 11:28:30,0,0,0,785.0,38.1,‐0.039999999,‐0.009,‐0.177000001
baird125_23,Baird,1230683.431,2330844.947,29‐05‐2012 11:31:03,0,0.001179,0.111741,785.0,38.3,‐0.029999999,0.005,0.474000007
baird125_24,Baird,1230735.609,2330843.052,29‐05‐2012 11:34:31,0,0.001884,0.212225,784.6,38.4,0,0.008,0.901000023
baird125_25,Baird,1230783.845,2330844.239,29‐05‐2012 11:37:24,0,0.001883,0.039311,784.6,38.6,‐0.518000007,0.008,0.166999996
BC053012_01,BC,1209742.865,2304559.544,30‐05‐2012 09:47:15,0,0,0.064306,797.9,25.1,‐2.83100009,0,0.256999999
BC053012_02,BC,1209961.62,2304551.117,30‐05‐2012 09:54:39,0,0.000248,0.030541,797.9,27.4,0,0.001,0.123000003
BC053012_03,BC,1209956.778,2304365.023,30‐05‐2012 10:03:37,0,0.000739,0.303629,797.1,29.6,‐0.029999999,0.003,1.23300004
BC053012_04,BC,1209948.574,2304161.535,30‐05‐2012 10:08:26,0,0.000491,0.055433,797.1,30.8,‐0.014,0.002,0.225999996
BC053012_05,BC,1210142.133,2304160.719,30‐05‐2012 10:14:04,0,0,0.20874,797.2,31.9,‐0.112000003,0,0.853999972
BC053012_06,BC,1210347.138,2304148.523,30‐05‐2012 10:20:21,0,0.00219,0.156452,796.7,33.1,‐0.623000026,0.009,0.643000007
BC053012_07,BC,1210346.733,2303975.191,30‐05‐2012 10:26:13,0,0.000968,0.110633,795.0,34.0,0,0.004,0.456999987
BC053012_08,BC,1210570.036,2304048.95,30‐05‐2012 10:32:06,0,0.000965,0.10469,795.0,35.1,‐0.006,0.004,0.433999985
BC053012_09,BC,1210587.274,2304187.215,30‐05‐2012 10:39:29,0,0.00072,0.191016,793.7,36.2,0,0.003,0.796000004
BC053012_10,BC,1210569.18,2304334.005,30‐05‐2012 10:44:10,0,0.000959,0.203251,794.8,37.0,‐0.025,0.004,0.84799999
BC053012_11,BC,1210352.868,2304352.987,30‐05‐2012 10:51:08,0,0.001196,0.057875,795.6,38.0,‐0.037999999,0.005,0.241999999
BC053012_12,BC,1210166.81,2304382.629,30‐05‐2012 10:56:35,0,0.002149,0.2342,796.0,38.7,‐0.541000009,0.009,0.981000006
BC053012_13,BC,1210154.007,2303962.018,30‐05‐2012 11:04:00,0,0.001431,0.059137,796.6,39.3,‐0.064999998,0.006,0.247999996
BC053012_14,BC,1210145.435,2303767.253,30‐05‐2012 11:07:54,0,0.000953,0.072422,796.6,39.6,0,0.004,0.30399999
BC053012_15,BC,1210148.477,2303559.211,30‐05‐2012 11:11:50,0,0.00119,0.052581,796.6,40.0,0,0.005,0.221000001
BC053012_16,BC,1210129.44,2303367.988,30‐05‐2012 11:15:47,0,0.002614,0.082687,796.3,40.3,0,0.011,0.34799999
BC053012_17,BC,1209992.12,2303357.646,30‐05‐2012 11:29:16,0,0.000949,0.001897,796.6,41.0,0,0.004,0.008
BC053012_18,BC,1209977.311,2303572.979,30‐05‐2012 11:35:52,0,0.000949,0.000237,797.5,41.3,0,0.004,0.001
BC053012_19,BC,1209955.588,2303834.635,30‐05‐2012 11:43:17,0,0.00166,0.590224,797.5,41.4,0,0.007,2.489000082
BC053012_20,BC,1209957.272,2303966.961,30‐05‐2012 11:47:03,0,0.001896,0.093875,797.5,41.5,0,0.008,0.395999998
BC053012_21,BC,1210136.67,2304597.66,30‐05‐2012 12:03:09,0,0.000709,0.355113,795.1,41.6,0,0.003,1.503000021
BC053012_22,BC,1210155.634,2304770.88,30‐05‐2012 12:10:25,0,0.002361,0.151116,795.1,41.8,0,0.01,0.639999986
BC053012_23,BC,1210322.875,2304748.544,30‐05‐2012 12:15:13,0,0.002356,0.221698,794.1,42.1,0,0.01,0.940999985
BC053012_24,BC,1210343.31,2304583.378,30‐05‐2012 12:21:06,0,0.001412,0,793.7,42.4,‐0.016000001,0.006,‐0.008
BC053012_25,BC,1210552.45,2304564.635,30‐05‐2012 12:29:57,0,0.003291,0.411644,793.9,42.7,‐0.174999997,0.014,1.751000047
BC053012_26,BC,1210520.314,2304757.757,30‐05‐2012 12:42:51,0,0.002819,0.244105,793.9,42.9,0,0.012,1.039000034
BC053012_27,BC,1210547.099,2304982.645,30‐05‐2012 12:51:04,0,0.003991,0.349541,794.0,43.2,0,0.017000001,1.488999963
BC053012_28,BC,1210742.808,2304955.934,30‐05‐2012 12:58:19,0,0.002105,1.701921,791.8,43.5,0,0.009,7.27699995
BC053012_29,BC,1210721.652,2304761.591,30‐05‐2012 13:04:58,0,0.001402,1.314613,791.7,43.8,0,0.006,5.626999855
BC053012_30,BC,1210735.509,2304590.316,30‐05‐2012 13:10:56,0,0.002336,0.177289,791.8,43.9,0,0.01,0.759000003
BC053012_31,BC,1210718.509,2304362.275,30‐05‐2012 13:19:25,0,0.001636,0.058195,792.0,43.8,0,0.007,0.248999998
BC053012_32,BC,1210932.753,2304350.931,30‐05‐2012 13:30:07,0,0.002344,0.180952,794.3,43.8,0,0.01,0.772000015
BC053012_33,BC,1211166.258,2304365.966,30‐05‐2012 13:38:04,0,0.003512,0.133695,793.7,43.9,0,0.015,0.57099998
BC053012_34,BC,1211150.65,2304186.037,30‐05‐2012 13:47:56,0,0.001634,0.027077,792.0,44.2,0,0.007,0.115999997
BC053012_35,BC,1211355.81,2304190.11,30‐05‐2012 13:53:43,0,0.002802,0.053243,792.6,44.3,0,0.012,0.228
BC053012_36,BC,1211352.591,2304376.729,30‐05‐2012 14:04:14,0,0.002096,0,790.8,44.4,0,0.009,‐0.004
BC053012_37,BC,1211336.3,2304553.846,30‐05‐2012 14:11:23,0,0.002563,0.239517,790.8,44.3,0,0.011,1.027999997
BC053012_38,BC,1211346.041,2304763.721,30‐05‐2012 14:19:23,0,0.002324,0.684806,788.7,44.3,0,0.01,2.947000027
BC053012_39,BC,1211352.653,2304977.813,30‐05‐2012 14:23:56,0,0.002777,0.194634,785.5,44.3,0,0.012,0.841000021
BC053012_40,BC,1211140.236,2304963.318,30‐05‐2012 14:28:55,0,0.001621,0.015516,786.0,44.3,0,0.007,0.067000002
BC053012_41,BC,1211140.935,2304769.494,30‐05‐2012 14:33:27,0,0.002553,0.131365,787.5,44.2,0,0.011,0.565999985
BC053012_42,BC,1211129.408,2304589.304,30‐05‐2012 14:39:18,4.035252,0.001862,2.122004,789.4,44.1,17.3390007,0.008,9.118000031
BC053112_01,BC,1210954.751,2304977.27,31‐05‐2012 08:11:26,0,0,0.153762,792.6,24.8,0,0,0.617999971
BC053112_02,BC,1210932.909,2304774.924,31‐05‐2012 08:20:35,0,0.000742,0.179549,792.6,26.6,0,0.003,0.726000011
BC053112_03,BC,1210926.738,2304558.425,31‐05‐2012 08:30:45,0,0.000246,0.070464,792.1,28.6,‐0.100000001,0.001,0.287
BC053112_04,BC,1211550.743,2304749.767,31‐05‐2012 09:03:26,0,0.001457,0.178747,792.1,31.9,0,0.006,0.736000001
BC053112_05,BC,1211550.474,2304938.503,31‐05‐2012 09:08:40,0,0.000964,0.234201,787.4,32.5,0,0.004,0.972000003
BC053112_06,BC,1211747.036,2304956.052,31‐05‐2012 09:16:17,0.000481,0.001443,0.316323,787.9,33.2,0.002,0.006,1.315000057
BC053112_07,BC,1211771.88,2304788.872,31‐05‐2012 09:21:38,0,0.002156,0.149745,786.3,33.8,0,0.009,0.625
BC053112_08,BC,1211937.094,2304755.221,31‐05‐2012 09:28:19,0.748928,0.000478,0.747495,786.3,34.6,3.134000063,0.002,3.128000021
BC053112_09,BC,1211952.638,2304937.84,31‐05‐2012 09:37:46,1.372035,0.001667,0.752928,786.3,35.7,5.762000084,0.007,3.161999941
BC053112_10,BC,1211942.126,2304904.004,31‐05‐2012 09:46:01,10.24045,0.000949,1.660197,786.3,36.8,43.1590004,0.004,6.997000217
BC053112_11,BC,1211980.235,2304892.183,31‐05‐2012 09:52:10,33.92461,0.002362,5.2804,784.5,37.5,143.6289978,0.01,22.3560009
BC053112_12,BC,1212011.594,2304944.138,31‐05‐2012 09:56:47,0,0.000943,0.36587,784.5,38.1,‐0.016000001,0.004,1.552000046
BC053112_13,BC,1211943.642,2304941.335,31‐05‐2012 10:54:30,1.693758,0.00188,0.558397,784.6,39.1,7.206999779,0.008,2.375999928
BC053112_14,BC,1211932.689,2304981.144,31‐05‐2012 10:58:49,0.903581,0.001175,0.367447,784.6,39.2,3.845999956,0.005,1.56400001
BC053112_15,BC,1211742.323,2305176.593,31‐05‐2012 11:05:32,0,0.002356,0.241677,787.4,39.5,‐0.002,0.01,1.026000023
BC053112_16,BC,1211932.577,2305179.248,31‐05‐2012 11:10:55,0,0.001176,0.09948,787.4,40.0,0,0.005,0.423000008
BC053112_17,BC,1212138.612,2305168.465,31‐05‐2012 11:17:01,0,0.001641,0.194354,786.2,40.5,‐0.039000001,0.007,0.828999996
BC053112_18,BC,1212119.511,2304961.005,31‐05‐2012 11:23:03,0,0.001169,0.171546,785.0,41.0,0,0.005,0.734000027
BC053112_19,BC,1212141.072,2304769.919,31‐05‐2012 11:32:05,0,0.001165,0.128375,783.8,41.5,‐0.001,0.005,0.550999999
BC053112_20,BC,1212328.237,2304770.136,31‐05‐2012 11:38:15,0,0.00093,0.130372,782.3,41.7,‐0.024,0.004,0.56099999
BC053112_21,BC,1212347.192,2304940.887,31‐05‐2012 11:43:47,0,0.001161,0.184402,782.3,41.9,0,0.005,0.79400003
BC053112_22,BC,1212346.125,2305140.992,31‐05‐2012 11:50:49,0,0.001626,0.12703,783.0,42.2,‐0.092,0.007,0.546999991
BC053112_23,BC,1212342.287,2305335.369,31‐05‐2012 11:57:42,0,0.001163,0.148401,785.0,42.5,0,0.005,0.638000011
BC053112_24,BC,1212158.939,2305551.429,31‐05‐2012 12:17:29,0,0.001628,0.219594,786.8,43.2,0,0.007,0.944000006
BC053112_25,BC,1212350.912,2305554.546,31‐05‐2012 12:22:04,0,0.003493,0.054485,787.8,43.3,0,0.015,0.233999997
BC053112_26,BC,1212547.84,2305568.949,31‐05‐2012 12:26:56,0,0.002553,0.130194,785.7,43.5,0,0.011,0.56099999
BC053112_27,BC,1212566.331,2305367.11,31‐05‐2012 12:35:55,0,0.001621,0.460978,784.6,43.8,‐0.075000003,0.007,1.991000056
BC053112_28,BC,1212533.528,2305158.123,31‐05‐2012 12:41:03,1.264034,0.001619,0.224589,784.3,44.0,5.465000153,0.007,0.971000016
BC053112_29,BC,1212608.665,2305119.573,31‐05‐2012 12:45:48,0,0.002079,2.150914,783.9,44.2,‐0.164000005,0.009,9.31000042
BC053112_30,BC,1212545.947,2304960.239,31‐05‐2012 12:51:27,0,0.00323,0.207394,783.0,44.3,‐0.098999999,0.014,0.898999989
BC053112_31,BC,1212539.549,2304767.728,31‐05‐2012 12:57:48,0.213489,0.001383,0.379254,783.0,44.5,0.925999999,0.006,1.644999981
BC053112_32,BC,1212551.037,2304564.977,31‐05‐2012 13:02:16,5.785285,0.002067,6.670823,780.4,44.6,25.18499947,0.009,29.04000092
BC053112_33,BC,1212577.852,2304361.157,31‐05‐2012 13:08:31,0,0.001605,1.637447,778.9,44.6,‐0.01,0.007,7.142000198
BC053112_34,BC,1212338.984,2304377.652,31‐05‐2012 13:15:32,0,0.003904,0.857114,780.0,44.5,‐0.796000004,0.017000001,3.732000113
BC053112_35,BC,1212343.855,2304566.357,31‐05‐2012 13:21:02,0,0.002304,1.515763,782.6,44.6,‐0.287999988,0.01,6.579999924
BC053112_36,BC,1212143.542,2304565.723,31‐05‐2012 13:24:27,0,0.00161,0.239835,781.2,44.6,‐0.718999982,0.007,1.042999983
BC053112_37,BC,1212748.285,2304751.395,01‐06‐2012 08:29:07,0,0.000741,0.278685,780.7,22.4,0,0.003,1.128000021
BC053112_38,BC,1212933.911,2304826.372,01‐06‐2012 08:36:42,0,0.000245,0.468769,780.7,25.3,‐0.039999999,0.001,1.916000009
BC053112_39,BC,1212948.607,2304734.06,01‐06‐2012 08:41:39,2.27781,0.000487,0.553878,780.7,26.9,9.359999657,0.002,2.276000023
BC053112_40,BC,1213160.222,2304738.853,01‐06‐2012 08:49:01,0.804496,0.000241,0.564521,778.1,28.9,3.338999987,0.001,2.342999935
BC053112_41,BC,1213358.065,2304761.398,01‐06‐2012 08:56:34,0,0.00024,0.183452,778.8,30.6,0,0.001,0.764999986
BC053112_42,BC,1213537.266,2304754.278,01‐06‐2012 09:07:56,0,0.00143,0.049801,779.2,32.7,‐0.381000012,0.006,0.209000006
BC053112_43,BC,1213536.901,2304549.476,01‐06‐2012 09:22:31,0,0.000473,0.114742,779.2,34.9,0,0.002,0.485000014
BC053112_44,BC,1213549.167,2304374.015,01‐06‐2012 09:30:44,0,0.001175,0.099842,776.5,36.0,‐0.014,0.005,0.425000012
BC053112_45,BC,1213749.171,2304337.562,01‐06‐2012 09:40:10,0,0.000467,0.00841,774.9,37.1,‐0.021,0.002,0.035999998
BC053112_46,BC,1213748.489,2304131.189,01‐06‐2012 09:53:25,0,0.000931,0.074466,774.9,38.3,‐0.001,0.004,0.319999993
BC053112_47,BC,1213938.009,2304163.76,01‐06‐2012 09:59:31,0,0.000697,0.108964,774.9,38.8,‐0.02,0.003,0.469000012
BC053112_48,BC,1213938.342,2303977.848,01‐06‐2012 10:05:52,0,0.000232,0,774.9,39.0,0,0.001,‐0.001
BC053112_49,BC,1213757.013,2303984.64,01‐06‐2012 10:15:05,0,0.000924,0.094432,771.8,39.5,0,0.004,0.409000009
BC053112_50,BC,1213728.949,2303766.091,01‐06‐2012 10:25:56,0,0.000691,0.043966,771.2,40.2,‐0.037,0.003,0.191
BC053112_51,BC,1213545.935,2303771.781,01‐06‐2012 10:33:38,0,0.001379,0.071475,771.2,40.7,0,0.006,0.31099999
BC053112_52,BC,1213573.581,2303959.723,01‐06‐2012 10:40:43,0,0.001609,0.146228,772.5,41.1,0,0.007,0.635999978
BC053112_53,BC,1213534.367,2304134.34,01‐06‐2012 10:46:42,0,0.002987,0.392681,772.5,41.3,0,0.013,1.708999991
BC053112_54,BC,1213356.362,2303955.477,01‐06‐2012 10:54:33,0,0.001377,0.08288,772.6,41.6,0,0.006,0.361000001
BC053112_55,BC,1213365.056,2304146.302,01‐06‐2012 11:00:48,0,0.001147,0.098856,772.6,41.9,0,0.005,0.430999994
BC053112_56,BC,1213385.569,2304377.087,01‐06‐2012 11:07:24,0,0.001835,0.349626,773.5,42.2,0,0.008,1.524000049
BC053112_57,BC,1213359.131,2304542.649,01‐06‐2012 11:13:11,0,0.001607,1.669036,774.9,42.5,0,0.007,7.269000053
BC053112_58,BC,1213352.613,2304558.508,01‐06‐2012 11:18:44,0.886025,0.000918,1.561791,775.4,42.8,3.859999895,0.004,6.803999901
BC053112_59,BC,1213344.293,2304552.974,01‐06‐2012 11:22:48,0,0.001835,1.075862,775.4,43.0,0,0.008,4.690000057
BC053112_60,BC,1213159.7,2304564.75,01‐06‐2012 11:27:24,0,0.002981,0.34192,775.4,43.1,0,0.013,1.491000056
BC053112_61,BC,1213125.924,2304337.164,01‐06‐2012 11:33:13,0,0.001376,0.162863,776.1,43.3,0,0.006,0.709999979
BC053112_62,BC,1213161.468,2304351.826,01‐06‐2012 11:36:59,0,0.001604,0.27683,775.6,43.4,0,0.007,1.207999945
BC053112_63,BC,1213149.676,2304171.502,01‐06‐2012 11:43:13,0,0.002977,0.334779,775.0,43.4,0,0.013,1.462000012
BC053112_64,BC,1213123.284,2304148.611,01‐06‐2012 11:46:11,0,0.002979,0.140699,775.8,43.5,0,0.013,0.614000022
BC053112_65,BC,1213155.667,2303935.277,01‐06‐2012 11:52:46,0,0.002979,0.185372,776.0,43.6,0,0.013,0.809000015
BC053112_66,BC,1213140.51,2303954.468,01‐06‐2012 11:55:54,0,0.002286,0.093266,774.4,43.7,0,0.01,0.407999992
BC053112_67,BC,1212953.268,2303961.089,01‐06‐2012 12:03:11,0,0.001828,0.133888,774.5,43.9,‐0.167999998,0.008,0.586000025
BC053112_68,BC,1212933.815,2304143.943,01‐06‐2012 12:09:49,0,0.003202,0.226417,776.0,44.2,0,0.014,0.99000001
BC053112_69,BC,1212979.499,2304366.13,01‐06‐2012 12:17:56,0,0.001373,0.135703,777.2,44.5,0,0.006,0.592999995
BC053112_70,BC,1212948.441,2304563.638,01‐06‐2012 12:23:38,1.224014,0.00137,0.652092,776.2,44.7,5.359000206,0.006,2.855000019
BC053112_71,BC,1212747.111,2304562.507,01‐06‐2012 12:31:33,0,0.002513,0.174076,776.1,44.6,0,0.011,0.762000024
BC053112_72,BC,1212751.1,2304384.546,01‐06‐2012 12:36:44,0,0.001831,0.309513,777.5,44.5,0,0.008,1.351999998
BC053112_73,BC,1212765.504,2304190.274,01‐06‐2012 12:42:59,0,0.002291,0.174599,777.7,44.3,0,0.01,0.762000024
BC053112_74,BC,1212740.057,2303992.08,01‐06‐2012 12:49:51,0,0.001607,0.053487,778.9,44.2,0,0.007,0.232999995
BC053112_75,BC,1212575.824,2304166.72,01‐06‐2012 12:58:27,0,0.001604,0.054086,777.6,44.2,0,0.007,0.236000001
BC053112_76,BC,1212346.164,2304147.632,01‐06‐2012 13:06:56,0,0.00115,0,780.3,44.1,0,0.005,‐0.064000003
BC053112_77,BC,1212164.187,2304172.403,01‐06‐2012 13:10:49,0,0.002535,0.12927,781.6,44.1,0,0.011,0.56099999
BC053112_78,BC,1211981.566,2304149.415,01‐06‐2012 13:18:14,0,0.003695,0.064437,783.4,44.1,0,0.016000001,0.279000014
BC053112_79,BC,1212152.048,2304378.927,01‐06‐2012 13:26:53,0,0.003936,1.203351,785.0,44.0,0,0.017000001,5.197999954
BC053112_80,BC,1211974.134,2304361.07,01‐06‐2012 13:30:53,0,0.000923,0.147431,782.6,44.1,0,0.004,0.638999999
BC053112_81,BC,1211948.864,2304530.611,01‐06‐2012 13:35:43,0,0.001387,0.249163,784.0,44.1,0,0.006,1.077999949
BC060712_01,BC,1212774.95,2305982.332,07‐06‐2012 10:27:13,0,0.000731,0.124043,789.1,29.7,‐0.001,0.003,0.509000003
BC060712_02,BC,1212789.161,2305800.994,07‐06‐2012 10:35:17,0,0.000485,68.30624,789.1,31.3,0,0.002,281.7690125
BC060712_03,BC,1212782.05,2305525.365,07‐06‐2012 11:01:24,0.391357,0.004072,1.469145,789.1,35.0,1.633999944,0.017000001,6.133999825
BC060712_04,BC,1212756.273,2305564.693,07‐06‐2012 11:07:24,0.484034,0.000476,8.414619,787.1,35.9,2.032000065,0.002,35.32500076
BC060712_05,BC,1212764.518,2305366.733,07‐06‐2012 11:24:32,13.29167,0.001657,0.409419,787.3,38.0,56.16400146,0.007,1.730000019
BC060712_06,BC,1212789.272,2305332.65,07‐06‐2012 11:30:20,118.4927,0.001177,4.106547,785.1,38.7,503.223999,0.005,17.44000053
BC060712_07,BC,1212748.34,2305164.717,07‐06‐2012 11:38:41,0,0.001174,0.931582,785.1,39.7,‐0.119000003,0.005,3.969000101
BC060712_08,BC,1212734.413,2304966.496,07‐06‐2012 11:45:31,0,0.001401,0.188031,782.8,40.3,‐0.016000001,0.006,0.805000007
BC060712_09,BC,1212940.918,2304933.666,07‐06‐2012 11:53:57,7.208553,0.000699,1.137702,781.6,40.8,30.95800018,0.003,4.886000156
BC060712_10,BC,1212942.625,2305151.96,07‐06‐2012 12:06:57,0,0.002556,0.020213,781.6,41.5,‐0.257999986,0.011,0.086999997
BC060712_11,BC,1212920.895,2305362.587,07‐06‐2012 12:21:57,0,0.003256,0.032093,783.6,42.0,‐0.002,0.014,0.137999997
BC060712_12,BC,1212937.497,2305559.582,07‐06‐2012 12:30:38,0,0.002099,0.059017,786.5,42.2,‐0.104000002,0.009,0.252999991
BC060712_13,BC,1212941.915,2305767.993,07‐06‐2012 12:40:32,0,0.002803,0.182438,787.6,42.2,‐0.245000005,0.012,0.781000018
BC060712_14,BC,1212964.318,2305956.981,07‐06‐2012 12:45:30,0,0.0014,0.096622,786.9,42.2,0,0.006,0.414000005
BC060712_15,BC,1212953.063,2306135.629,07‐06‐2012 12:52:03,0.011435,0.0014,0.15846,787.1,42.3,0.048999999,0.006,0.67900002
BC060712_16,BC,1213148.223,2306158.199,07‐06‐2012 13:04:00,0,0.001167,0.044124,788.4,42.7,0,0.005,0.188999996
BC060712_17,BC,1213132.52,2305937.724,07‐06‐2012 13:12:35,0,0.002327,0.046076,787.1,43.2,‐0.126000002,0.01,0.197999999
BC060712_18,BC,1213128.913,2305761.139,07‐06‐2012 13:16:25,0,0.002089,0.554834,785.7,43.4,‐0.096000001,0.009,2.390000105
BC060712_19,BC,1213229.164,2305805.678,07‐06‐2012 13:23:08,1.422279,0.00139,5.391273,784.6,43.7,6.140999794,0.006,23.27799988
BC060712_20,BC,1213338.043,2305725.695,07‐06‐2012 13:28:28,3.601949,0.002083,1.993754,784.5,43.9,15.56400013,0.009,8.614999771
BC060712_21,BC,1213414.583,2305694.142,07‐06‐2012 13:32:53,0,0.001619,0.476872,784.2,44.0,‐0.045000002,0.007,2.062000036
BC060712_22,BC,1213552.177,2305770.68,07‐06‐2012 13:37:24,0,0.003236,0.249163,784.0,44.1,‐1.799000025,0.014,1.077999949
BC060712_23,BC,1213535.53,2305569.929,07‐06‐2012 13:41:42,0,0.00185,0.077258,784.6,44.1,‐1.468999982,0.008,0.333999991
BC060712_24,BC,1213541.363,2305373.389,07‐06‐2012 13:45:45,0.970765,0.003464,1.112085,783.5,44.2,4.203999996,0.015,4.815999985
BC060712_25,BC,1213597.576,2305362.873,07‐06‐2012 14:02:45,0,0.002301,0.371441,781.6,44.5,‐0.071999997,0.01,1.613999963
BC060712_26,BC,1213746.651,2305350.268,07‐06‐2012 14:08:20,0,0.00299,0.109692,781.5,44.7,‐0.421999991,0.013,0.476999998
BC060712_27,BC,1213757.045,2305540.094,07‐06‐2012 14:12:12,0,0.003907,0.15144,781.2,44.8,0,0.017000001,0.658999979
BC060712_28,BC,1213750.048,2305168.31,07‐06‐2012 14:19:10,0,0.00276,0.011958,782.0,44.9,‐0.071999997,0.012,0.052000001
BC060712_29,BC,1213757.325,2304968.088,07‐06‐2012 14:22:49,0,0.001376,0.002752,779.9,44.9,‐0.195999995,0.006,0.012
BC060712_30,BC,1213564.577,2304988.725,07‐06‐2012 14:27:25,0.591571,0.001145,0.792119,778.5,44.9,2.584000111,0.005,3.460000038
BC060712_31,BC,1213545.066,2305156.351,07‐06‐2012 14:30:59,0,0.001832,0.005955,778.9,44.9,‐0.050999999,0.008,0.026000001
BC060712_32,BC,1213338.491,2305359.378,07‐06‐2012 14:35:46,120.9497,0.001606,10.24258,779.7,44.8,527.3330078,0.007,44.6570015
BC060712_33,BC,1213356.409,2305147.362,07‐06‐2012 14:39:19,0,0.002069,0.442366,781.6,44.8,‐0.579999983,0.009,1.924000025
BC060712_34,BC,1213371.909,2304959.658,07‐06‐2012 14:43:12,0,0.001839,0.027352,781.1,44.7,0,0.008,0.119000003
BC060712_35,BC,1213160.272,2304993.541,07‐06‐2012 14:47:41,0,0.001839,0.019999,781.2,44.7,‐0.090000004,0.008,0.086999997
BC060712_36,BC,1213160.422,2305135.472,07‐06‐2012 14:52:47,0,0.003452,0.098723,781.8,44.6,0,0.015,0.42899999
BC060712_37,BC,1213164.082,2305344.819,07‐06‐2012 14:58:13,0,0.002536,2.534971,783.2,44.6,‐0.023,0.011,10.99600029
BC060712_38,BC,1213150.166,2305545.796,07‐06‐2012 15:03:03,10.78771,0.006689,2.607844,783.8,44.7,46.77299881,0.028999999,11.30700016
BC060712_39,BC,1213367.121,2305565.782,07‐06‐2012 15:07:16,4.143781,0.004387,2.634999,785.1,44.9,17.94799995,0.018999999,11.41300011
BC060712_40,BC,1213732.575,2305741.889,07‐06‐2012 15:15:00,0,0.002531,0.073871,782.8,45.0,‐0.088,0.011,0.32100001
BC060712_41,BC,1213349.388,2305967.793,08‐06‐2012 08:31:45,0,0.000247,0.150425,785.8,24.4,‐1.177999973,0.001,0.609000027
BC060712_42,BC,1213371.236,2306171.97,08‐06‐2012 08:41:22,0,0,0.000492,787.7,26.2,0,0,0.002
BC060712_43,BC,1213330.818,2306349.765,08‐06‐2012 08:47:33,0,0.001961,0.154182,788.2,27.6,0,0.008,0.629000008
BC060712_44,BC,1213161.08,2306361.84,08‐06‐2012 08:53:16,0,0.00196,0.166831,790.1,28.5,0,0.008,0.680999994
BC060712_45,BC,1213366.585,2306561.048,08‐06‐2012 08:59:51,0,0.000488,0,788.9,29.4,‐0.064000003,0.002,‐0.059
