Site Pt                                         Abbrev,Area,Northing,Easting,Date Time,CH4 flux,H2S flux,CO2 flux,Pressure,Temp,CH4 slope,H2S slope,CO2 slope
BasinCreek061219_40,BC2CJ,1211164.786,2303683.804,12/6/19 12:54,0.000000,0.001164,0.000000,792.9,45.3,0,0.005,-0.259
BasinCreek061219_41,BC2CJ,1211217.001,2303547.014,12/6/19 13:01,0.000000,0.002096,0.002562,793.2,45.4,0,0.009,0.011
BasinCreek061219_42,BC2CJ,1211191.125,2303446.569,12/6/19 13:05,0.000000,0.002091,0.020209,791.4,45.5,-0.289,0.009,0.087
BasinCreek061219_43,BC2CJ,1211329.022,2303389.469,12/6/19 13:10,0.000000,0.003017,0.007890,790.9,45.6,-0.09,0.013,0.034
BasinCreek061219_44,BC2CJ,1211396.713,2303482.065,12/6/19 13:15,0.000000,0.002547,0.000000,789.5,45.8,-0.054,0.011,-0.008
BasinCreek061219_45,BC2CJ,1211560.68,2303323.887,12/6/19 13:20,0.000000,0.003941,0.069084,790.8,45.9,-0.043,0.017,0.298
BasinCreek061219_46,BC2CJ,1211609.848,2303504.791,12/6/19 13:25,0.000000,0.002543,0.036291,788.5,45.9,-0.02,0.011,0.157
BasinCreek061219_47,BC2CJ,1211605.161,2303719.969,12/6/19 13:49,0.000000,0.003722,0.166797,794.8,46.4,0,0.016,0.717
BasinCreek061219_48,BC2CJ,1211435.184,2303798.132,12/6/19 14:01,0.000000,0.004418,0.007441,794.7,46.5,-0.574,0.019,0.032
BasinCreek061219_49,BC2CJ,1211373.41,2303801.042,12/6/19 14:07,0.000000,0.005356,0.153934,795.4,46.3,-0.023,0.023,0.661
BasinCreek061219_50,BC2CJ,1211222.228,2303989.548,12/6/19 14:20,0.000000,0.003499,0.002099,795.4,45.8,-0.675,0.015,0.009
BasinCreek061219_51,BC2CJ,1211216.535,2304135.343,12/6/19 14:26,0.003508,0.003508,0.021749,797.5,45.8,0.015,0.015,0.093
BasinCreek061219_52,BC2CJ,1211207.154,2304338.565,12/6/19 14:34,0.000000,0.002338,0.030162,797.6,45.9,0,0.01,0.129
BasinCreek061219_53,BC2CJ,1210930.081,2304361.488,12/6/19 14:41,0.000000,0.003974,0.200799,797.9,46.1,-0.117,0.017,0.859
BasinCreek061219_54,BC2CJ,1210938.055,2304148.596,12/6/19 14:56,0.000000,0.000000,0.143913,796.9,46.4,0,-0.008,0.617
BasinCreek061219_55,BC2CJ,1210941.293,2304045.998,12/6/19 15:00,0.000000,0.003498,0.048970,796.7,46.4,0,0.015,0.21
BasinCreek061419_01,BC2CJ,1209399.831,2302393.595,14-06-2019 09:56:45,0.000000,0.000000,0.012226,793.6,30.4,-0.593,0,0.05
BasinCreek061419_02,BC2CJ,1209543.549,2302354.002,14-06-2019 09:59:16,0.000000,0.000000,0.009993,793.6,31.4,0,-0.001,0.041
BasinCreek061419_03,BC2CJ,1209278.653,2302391.991,14-06-2019 10:02:27,0.000000,0.000243,0.100946,793.6,32.0,0,0.001,0.415
BasinCreek061419_04,BC2CJ,1209230.63,2302382.163,14-06-2019 10:05:59,6.327593,0.000000,0.738697,793.3,32.5,26.066,0,3.043
BasinCreek061419_05,BC2CJ,1209154.631,2302312.203,14-06-2019 10:10:01,0.000000,0.000000,0.000000,792.8,33.1,0,0,-0.235
BasinCreek061419_06,BC2CJ,1209314.875,2302178.213,14-06-2019 10:15:19,0.000000,0.000724,0.234589,791.8,33.7,0,0.003,0.972
BasinCreek061419_07,BC2CJ,1209413.309,2302166.306,14-06-2019 10:19:55,0.000000,0.000000,0.087904,789.5,34.3,0,0,0.366
BasinCreek061419_08,BC2CJ,1209533.961,2302120.616,14-06-2019 10:23:49,0.000000,0.000000,0.066933,790.4,35.0,0,0,0.279
BasinCreek061419_09,BC2CJ,1209724.777,2302187.091,14-06-2019 10:27:08,0.000000,0.000000,0.012706,791.4,35.6,-0.107,0,0.053
BasinCreek061419_10,BC2CJ,1209575.056,2302001.952,14-06-2019 10:33:30,0.000000,0.000239,0.024129,791.7,36.8,-1.742,0.001,0.101
BasinCreek061419_11,BC2CJ,1209616.338,2301952.667,14-06-2019 10:37:34,0.000000,0.000476,0.014765,790.7,37.4,-5.131,0.002,0.062
BasinCreek061419_12,BC2CJ,1209627.757,2301851.012,14-06-2019 10:42:28,0.000000,0.000238,0.071737,791.0,38.3,-0.507,0.001,0.302
BasinCreek061419_13,BC2CJ,1209486.264,2301914.523,14-06-2019 10:54:50,3.481110,0.000709,1.583418,791.4,40.1,14.732,0.003,6.701
BasinCreek061419_14,BC2CJ,1209472.937,2301920.033,14-06-2019 10:57:00,0.000000,0.000000,0.608356,788.4,40.3,-10.247,0,2.586
BasinCreek061419_15,BC2CJ,1209440.696,2301926.356,14-06-2019 10:59:16,0.000000,0.000940,0.203728,788.0,40.5,-0.971,0.004,0.867
BasinCreek061419_16,BC2CJ,1209431.641,2301954.937,14-06-2019 11:01:28,0.000000,0.000000,0.164768,787.6,40.7,-1.684,0,0.702
BasinCreek061419_17,BC2CJ,1209423.818,2302000.808,14-06-2019 11:04:01,0.000000,0.001172,1.664650,787.5,41.0,-1.159,0.005,7.1
BasinCreek061419_18,BC2CJ,1209378.232,2302007.795,14-06-2019 11:07:12,2.164225,0.000468,1.444144,787.8,41.4,9.239,0.002,6.165
BasinCreek061419_19,BC2CJ,1209347.642,2301996.551,14-06-2019 11:10:18,0.000000,0.000468,0.507054,787.2,41.8,-0.226,0.002,2.169
BasinCreek061419_20,BC2CJ,1209357.071,2301958.335,14-06-2019 11:15:52,0.000000,0.000699,0.753867,786.7,42.5,0,0.003,3.234
BasinCreek061419_21,BC2CJ,1209381.734,2301941.925,14-06-2019 11:17:59,3208.643000,1.821162,26.414770,786.7,42.8,13777.79,7.82,113.424
BasinCreek061419_22,BC2CJ,1209356.839,2301902.316,14-06-2019 11:20:26,0.000000,0.000000,0.153471,786.5,43.2,-1.041,0,0.66
BasinCreek061419_23,BC2CJ,1209388.779,2301903.108,14-06-2019 11:25:31,2.171414,0.000000,0.224101,786.4,43.9,9.36,-0.057,0.966
BasinCreek061419_24,BC2CJ,1209320.177,2301838.99,14-06-2019 11:31:14,0.842223,0.000000,1.189483,786.5,44.6,3.638,-0.003,5.138
BasinCreek061419_25,BC2CJ,1209408.136,2301756.64,14-06-2019 11:36:16,0.703247,0.000462,1.632596,785.6,45.0,3.045,0.002,7.069
BasinCreek061419_26,BC2CJ,1209436.111,2301634.112,14-06-2019 11:40:49,0.000000,0.000000,0.101087,787.6,45.3,-3.018,-0.002,0.437
BasinCreek061419_27,BC2CJ,1209371.469,2301572.07,14-06-2019 11:45:40,0.000000,0.001158,0.085725,789.1,45.4,-1.886,0.005,0.37
BasinCreek061419_28,BC2CJ,1209246.906,2301547.73,14-06-2019 11:50:36,67.310700,0.000925,4.158775,787.6,45.4,291.075,0.004,17.984
BasinCreek061419_29,BC2CJ,1209143.666,2301443.656,14-06-2019 11:55:12,0.000000,0.000923,0.235245,785.5,45.4,-1.867,0.004,1.02
BasinCreek061419_30,BC2CJ,1209125.756,2301378.732,14-06-2019 12:00:26,1.644653,0.001386,0.326991,786.5,45.4,7.122,0.006,1.416
BasinCreek061419_31,BC2CJ,1209169.462,2301314.327,14-06-2019 12:02:54,0.000000,0.000000,0.010864,787.5,45.5,-2.594,-0.008,0.047
BasinCreek061419_32,BC2CJ,1209097.933,2301327.503,14-06-2019 12:06:00,601.636400,0.000231,7.419481,788.3,45.5,2600.192,0.001,32.066
BasinCreek061419_33,BC2CJ,1209071.777,2301320.139,14-06-2019 12:08:19,252.156000,0.003007,4.464068,788.1,45.5,1090.061,0.013,19.298
BasinCreek061419_34,BC2CJ,1209027.204,2301223.972,14-06-2019 12:12:49,0.984366,0.001850,0.833833,787.8,45.5,4.257,0.008,3.606
BasinCreek061419_35,BC2CJ,1209005.239,2301183.029,14-06-2019 12:15:37,196.924000,0.008782,1.898167,787.4,45.5,852.052,0.038,8.213
BasinCreek061419_36,BC2CJ,1208919.696,2301055.443,14-06-2019 12:20:10,0.000000,0.000231,0.132629,787.7,45.7,-0.397,0.001,0.574
BasinCreek061419_37,BC2CJ,1208935.627,2300913.007,14-06-2019 12:30:10,0.000000,0.002077,0.451642,787.0,45.8,-1.771,0.009,1.957
BasinCreek061419_38,BC2CJ,1208979.427,2300978.738,14-06-2019 12:34:26,0.000000,0.000000,0.002997,785.9,45.7,-2.483,0,0.013
BasinCreek061419_39,BC2CJ,1209041.303,2301036.924,14-06-2019 12:38:23,0.000000,0.000000,0.036755,787.8,45.6,-1.089,-0.001,0.159
BasinCreek061419_40,BC2CJ,1209073.828,2301055.496,14-06-2019 12:40:59,0.000000,0.000000,0.059514,788.7,45.4,-0.503,-0.001,0.257
BasinCreek061419_41,BC2CJ,1209121.284,2301141.989,14-06-2019 12:43:44,0.000000,0.000000,0.295728,789.1,45.3,-0.166,-0.001,1.276
BasinCreek061419_42,BC2CJ,1209142.746,2300884.907,14-06-2019 12:50:18,0.000000,0.000000,0.000000,789.5,45.1,-4.573,-0.001,-0.018
BasinCreek061419_43,BC2CJ,1209019.535,2300814.51,14-06-2019 12:55:05,1.119486,0.000693,1.151155,785.8,44.8,4.843,0.003,4.98
BasinCreek061419_44,BC2CJ,1209095.112,2300728.745,14-06-2019 12:58:46,3.516425,0.000693,0.640568,784.5,44.6,15.228,0.003,2.774
BasinCreek061419_45,BC2CJ,1209152.007,2300736.319,14-06-2019 13:00:34,0.000000,0.000000,0.020083,784.0,44.5,-0.107,-0.001,0.087
BasinCreek061419_46,BC2CJ,1209110.048,2300613.362,14-06-2019 13:04:26,0.000000,0.000923,0.034385,784.0,44.6,-0.756,0.004,0.149
BasinCreek061419_47,BC2CJ,1209084.842,2300566.989,14-06-2019 13:08:27,0.000000,0.000000,0.017056,783.3,44.7,-1.551,-0.001,0.074
BasinCreek061419_48,BC2CJ,1209077.277,2300470.394,14-06-2019 13:13:01,0.000000,0.000000,0.000921,782.9,44.8,-0.196,-0.01,0.004
BasinCreek061419_49,BC2CJ,1209093.645,2300464.11,14-06-2019 13:15:13,0.000000,0.000000,0.082898,782.8,44.8,-1.491,-0.001,0.36
BasinCreek061419_50,BC2CJ,1209095.349,2300392.783,14-06-2019 13:18:18,0.000000,0.000000,0.172278,783.2,44.9,-2.477,0,0.748
BasinCreek061419_51,BC2CJ,1209034.292,2300419.211,14-06-2019 13:22:50,1.923802,0.000921,0.257167,782.9,44.9,8.356,0.004,1.117
BasinCreek061419_52,BC2CJ,1209015.876,2300353.875,14-06-2019 13:26:50,12.478640,0.001150,0.559380,781.9,44.8,54.253,0.005,2.432
BasinCreek061419_53,BC2CJ,1209012.909,2300285.061,14-06-2019 13:29:59,0.000000,0.000000,0.212661,781.3,44.7,-6.009,0,0.925
BasinCreek061419_54,BC2CJ,1209000.719,2300164.253,14-06-2019 13:33:53,0.000000,0.000000,0.000000,781.7,44.6,-0.956,-0.005,-0.096
BasinCreek061419_55,BC2CJ,1208953.856,2300164.008,14-06-2019 13:37:46,0.000000,0.000922,0.036413,782.7,44.5,-0.553,0.004,0.158
BasinCreek061419_56,BC2CJ,1208676.374,2299973.855,14-06-2019 13:48:43,0.000000,0.001153,0.660928,781.7,44.0,-33.256,0.005,2.867
BasinCreek061419_57,BC2CJ,1208760.81,2300129.646,14-06-2019 13:58:23,0.000000,0.000919,0.004137,778.6,43.7,-0.884,0.004,0.018
BasinCreek061419_58,BC2CJ,1208759.79,2300357.179,14-06-2019 14:05:33,0.000000,0.000000,0.024339,778.1,43.8,-0.728,0,0.106
BasinCreek061419_59,BC2CJ,1208746.99,2300622.128,14-06-2019 14:11:18,0.000000,0.000000,0.001375,776.8,43.9,-1.211,-0.008,0.006
BasinCreek061419_60,BC2CJ,1208792.825,2300718.716,14-06-2019 14:16:27,0.000000,0.000918,0.134522,778.9,44.2,-0.485,0.004,0.586
BasinCreek061419_61,BC2CJ,1208930.199,2300618.789,14-06-2019 14:21:01,0.000000,0.000000,0.075187,780.9,44.5,-0.691,-0.002,0.327
BasinCreek061719_100,BC2CJ,1209514.892,2302787.728,17-06-2019 13:30:46,0.008471,0.000000,0.162370,791.9,41.6,0.036,-0.117,0.69
BasinCreek061719_101,BC2CJ,1209512.261,2302794.273,17-06-2019 13:33:16,0.115637,0.000000,0.201364,791.8,41.3,0.491,-0.011,0.855
BasinCreek061719_102,BC2CJ,1209514.942,2302797.069,17-06-2019 13:35:49,0.342099,0.000236,0.419431,791.9,41.0,1.451,0.001,1.779
BasinCreek061719_103,BC2CJ,1209525.104,2302806.571,17-06-2019 13:38:32,0.000000,0.000000,1.194754,792.1,40.8,-0.232,0,5.063
BasinCreek061719_104,BC2CJ,1209513.921,2302810.404,17-06-2019 13:41:44,0.000000,0.001181,0.612080,792.2,40.5,-0.031,0.005,2.591
BasinCreek061719_105,BC2CJ,1209503.739,2302827.749,17-06-2019 13:44:27,0.000000,0.000473,0.383016,792.1,40.2,-0.822,0.002,1.62
BasinCreek061719_106,BC2CJ,1209501.978,2302827.287,17-06-2019 13:46:52,0.573200,0.001183,0.849273,791.8,39.9,2.423,0.005,3.59
BasinCreek061719_107,BC2CJ,1209548.752,2302837.719,17-06-2019 13:50:01,1.109819,0.000474,0.594224,792.2,39.7,4.686,0.002,2.509
BasinCreek061719_108,BC2CJ,1209563.289,2302796.037,17-06-2019 13:53:18,0.000000,0.000474,0.156481,792.8,39.6,0,0.002,0.66
BasinCreek061719_109,BC2CJ,1209572.59,2302758.371,17-06-2019 13:56:50,0.331645,0.000474,0.164162,793.0,39.5,1.398,0.002,0.692
BasinCreek061719_110,BC2CJ,1209547.283,2302762.253,17-06-2019 14:02:03,0.000000,0.000474,0.081833,792.9,39.5,-0.046,0.002,0.345
BasinCreek061719_62,BC2CJ,1209117.051,2302522.817,17-06-2019 09:29:46,0.000000,0.000244,0.057843,790.8,29.9,0,0.001,0.237
BasinCreek061719_63,BC2CJ,1208969.964,2302490.379,17-06-2019 09:39:04,0.000000,0.000000,0.000000,790.8,30.9,0,0,-0.258
BasinCreek061719_64,BC2CJ,1208896.01,2302336.388,17-06-2019 09:53:54,0.000000,0.000000,0.025853,789.6,32.5,-0.207,0,0.107
BasinCreek061719_65,BC2CJ,1208890.207,2302136.91,17-06-2019 10:02:36,0.000000,0.000241,0.131299,789.1,33.2,0,0.001,0.545
BasinCreek061719_66,BC2CJ,1208727.526,2301923.619,17-06-2019 10:09:49,0.000000,0.000721,0.043739,788.7,33.8,-10.048,0.003,0.182
BasinCreek061719_67,BC2CJ,1208777.397,2301741.515,17-06-2019 10:14:43,0.100782,0.000718,0.149139,786.4,34.1,0.421,0.003,0.623
BasinCreek061719_68,BC2CJ,1208935.374,2301569.212,17-06-2019 10:19:54,0.000000,0.000239,0.057360,786.4,34.6,0,0.001,0.24
BasinCreek061719_69,BC2CJ,1208826.054,2301513.237,17-06-2019 10:22:47,0.000000,0.001192,0.065787,784.8,34.8,0,0.005,0.276
BasinCreek061719_70,BC2CJ,1208758.832,2301376.543,17-06-2019 10:26:29,0.000000,0.001190,0.079706,784.4,35.2,0,0.005,0.335
BasinCreek061719_71,BC2CJ,1208838.685,2301316.95,17-06-2019 10:31:14,0.000000,0.000712,0.212940,783.9,35.7,0,0.003,0.897
BasinCreek061719_72,BC2CJ,1208713.349,2301210.758,17-06-2019 10:42:35,0.000000,0.000237,0.046686,785.6,36.9,0,0.001,0.197
BasinCreek061719_73,BC2CJ,1208635.074,2301186.414,17-06-2019 10:47:39,0.000000,0.000945,0.179804,784.0,37.2,0,0.004,0.761
BasinCreek061719_74,BC2CJ,1208511.432,2301147.355,17-06-2019 10:52:11,0.000000,0.000943,0.105162,782.9,37.4,0,0.004,0.446
BasinCreek061719_75,BC2CJ,1208478.866,2300979.593,17-06-2019 10:57:55,0.000000,0.000706,0.078587,782.0,37.7,-0.049,0.003,0.334
BasinCreek061719_76,BC2CJ,1208661.748,2300973.421,17-06-2019 11:05:51,1.675890,0.000939,2.249073,781.6,38.3,7.14,0.004,9.582
BasinCreek061719_77,BC2CJ,1208652.601,2300749.571,17-06-2019 11:17:43,0.000000,0.002350,0.772681,784.8,39.2,-2.364,0.01,3.288
BasinCreek061719_78,BC2CJ,1208570.368,2300794.872,17-06-2019 11:23:37,0.152741,0.001406,0.241997,783.6,39.7,0.652,0.006,1.033
BasinCreek061719_79,BC2CJ,1209022.272,2301798.018,17-06-2019 11:42:43,0.000000,0.001632,0.103271,782.5,40.8,-0.081,0.007,0.443
BasinCreek061719_80,BC2CJ,1209154.435,2301755.449,17-06-2019 11:46:35,0.119595,0.001170,0.103212,785.6,40.8,0.511,0.005,0.441
BasinCreek061719_81,BC2CJ,1209103.842,2301912.042,17-06-2019 11:50:38,0.000000,0.000701,0.107288,785.1,41.0,-0.041,0.003,0.459
BasinCreek061719_82,BC2CJ,1208936.848,2301983.093,17-06-2019 12:02:00,0.180370,0.000701,0.260274,786.5,41.7,0.772,0.003,1.114
BasinCreek061719_83,BC2CJ,1209111.302,2302130.697,17-06-2019 12:08:23,0.000000,0.001872,0.142999,788.6,42.0,0,0.008,0.611
BasinCreek061719_84,BC2CJ,1209535.657,2302630.094,17-06-2019 12:25:04,0.271620,0.001642,0.193511,790.6,42.1,1.158,0.007,0.825
BasinCreek061719_85,BC2CJ,1209410.695,2302679.223,17-06-2019 12:29:05,0.000000,0.001175,0.098925,791.5,41.9,0,0.005,0.421
BasinCreek061719_86,BC2CJ,1209347.063,2302725.339,17-06-2019 12:32:27,0.000000,0.000705,0.095117,790.6,41.7,0,0.003,0.405
BasinCreek061719_87,BC2CJ,1209175.453,2302783.167,17-06-2019 12:37:40,0.000000,0.001173,0.227653,789.8,41.6,-0.057,0.005,0.97
BasinCreek061719_88,BC2CJ,1209195.38,2302809.599,17-06-2019 12:40:09,0.000000,0.001641,0.254184,788.6,41.4,-0.182,0.007,1.084
BasinCreek061719_89,BC2CJ,1209169.14,2302975.583,17-06-2019 12:44:00,0.000000,0.000938,0.073160,788.6,41.4,0,0.004,0.312
BasinCreek061719_90,BC2CJ,1209213.758,2303124.251,17-06-2019 12:48:21,0.000000,0.001411,0.101098,790.7,41.4,-0.064,0.006,0.43
BasinCreek061719_91,BC2CJ,1209340.36,2303142.521,17-06-2019 12:52:48,0.000000,0.001650,0.261853,792.4,41.3,-0.09,0.007,1.111
BasinCreek061719_92,BC2CJ,1209313.181,2302963.194,17-06-2019 13:00:46,0.000000,0.001651,0.124272,792.8,41.3,-0.024,0.007,0.527
BasinCreek061719_93,BC2CJ,1209473.885,2302831.62,17-06-2019 13:07:15,0.207498,0.000470,0.087417,790.3,41.4,0.883,0.002,0.372
BasinCreek061719_94,BC2CJ,1209478.306,2302789.492,17-06-2019 13:11:29,0.007523,0.000705,0.418679,791.1,41.6,0.032,0.003,1.781
BasinCreek061719_95,BC2CJ,1209497.294,2302747.363,17-06-2019 13:14:51,0.000000,0.000470,0.346245,791.0,41.8,-0.037,0.002,1.474
BasinCreek061719_96,BC2CJ,1209493.077,2302739.851,17-06-2019 13:17:50,0.019252,0.000704,0.134765,791.1,42.0,0.082,0.003,0.574
BasinCreek061719_97,BC2CJ,1209504.762,2302790.946,17-06-2019 13:22:02,0.498989,0.001174,1.116035,791.1,42.1,2.126,0.005,4.755
BasinCreek061719_98,BC2CJ,1209520.625,2302788.731,17-06-2019 13:25:30,1.540869,0.000940,0.562025,791.7,42.0,6.558,0.004,2.392
BasinCreek061719_99,BC2CJ,1209518.982,2302790.998,17-06-2019 13:28:05,389.212900,0.117547,12.351620,791.9,41.9,1655.561,0.5,52.539
BasinCreek061819_111,BC2CJ,1209854.344,2302670.324,18-06-2019 10:12:11,0.000000,0.000000,0.054076,798.7,28.0,-0.645,-0.001,0.218
BasinCreek061819_112,BC2CJ,1209726.726,2302818.31,18-06-2019 10:17:22,0.190010,0.000247,0.000000,798.5,29.5,0.77,0.001,-0.127
BasinCreek061819_113,BC2CJ,1209742.174,2302890.419,18-06-2019 10:20:51,0.149912,0.000246,0.187267,797.6,30.4,0.61,0.001,0.762
BasinCreek061819_114,BC2CJ,1209731.166,2302903.854,18-06-2019 10:23:17,4.114938,0.001719,1.536627,798.1,30.9,16.761,0.007,6.259
BasinCreek061819_115,BC2CJ,1209718.147,2303034.148,18-06-2019 10:29:37,0.110352,0.000979,0.281630,798.3,32.0,0.451,0.004,1.151
BasinCreek061819_116,BC2CJ,1209725.013,2303146.474,18-06-2019 10:34:24,0.000000,0.000489,0.684474,799.1,32.7,-0.107,0.002,2.801
BasinCreek061819_117,BC2CJ,1209721.145,2303178.517,18-06-2019 10:36:48,2.429308,0.000489,1.955714,799.9,33.0,9.941,0.002,8.003
BasinCreek061819_118,BC2CJ,1209675.051,2303247.893,18-06-2019 10:40:19,2.785069,0.001464,1.766594,800.0,33.5,11.414,0.006,7.24
BasinCreek061819_119,BC2CJ,1209676.666,2303284.605,18-06-2019 10:43:10,1.963377,0.002192,2.608337,799.6,33.9,8.061,0.009,10.709
BasinCreek061819_120,BC2CJ,1209625.666,2303519.107,18-06-2019 10:53:45,13.186460,0.000000,0.499063,799.6,35.1,54.351,-0.001,2.057
BasinCreek061819_121,BC2CJ,1209565.716,2303535.704,18-06-2019 10:57:40,0.000000,0.000726,0.128689,798.0,35.4,0,0.003,0.532
BasinCreek061819_122,BC2CJ,1209531.951,2303737.132,18-06-2019 11:05:50,1.114503,0.001448,0.980773,798.4,36.2,4.617,0.006,4.063
BasinCreek061819_123,BC2CJ,1209552.146,2303909.757,18-06-2019 11:10:23,0.000000,0.001690,0.184415,799.4,36.6,0,0.007,0.764
