Site Pt,Area,Northing,Easting,Pressure,Temp,Date Time,CH4 slope,H2S slope,CO2 slope,CH4 flux,H2S flux,CO2 flux
Baird060520_17,Baird,1230657,2330647,785.3,38.5,6/5/20,0,-0.002,0.29,0,0,0.068347
Baird060520_18,Baird,1230688,2330654,785.3,39,6/5/20,0,-0.004,0.26,0,0,0.061178
Baird060520_19,Baird,1230695,2330700,785.3,39.5,6/5/20,0,-0.009,0.122,0,0,0.028661
Baird060520_20,Baird,1230652,2330706,785.3,40,6/5/20,0,-0.005,0.293,0,0,0.068723
Baird060520_21,Baird,1230677,2330760,785.3,40.5,6/5/20,-1.172,-0.011,0.41,0,0,0.096012
Baird060520_22,Baird,1230723,2330752,785.3,41.1,6/5/20,0,-0.002,0.002,0,0,0.000467
Baird060520_23,Baird,1230695,2330746,785.3,41.5,6/5/20,0,-0.002,0.028,0,0,0.006536
Baird060520_24,Baird,1230739,2330707,785.3,41.8,6/5/20,0,-0.002,0.248,0,0,0.057836
Baird060520_25,Baird,1230741,2330657,785.3,42.2,6/5/20,0,-0.001,0.324,0,0,0.075464
"BasinCreek051120_
01",BC,1214812,2309976,804.6,25.5,5/11/20,-1.922,0.005,0.258,0,0.00126,0.065011
"BasinCreek051120_
02",BC,1214938,2309781,804.6,26.2,5/11/20,-7.717,0.003,0.461,0,0.000754,0.115892
"BasinCreek051120_
03",BC,1214772,2309733,804.3,26.7,5/11/20,-1.342,0.009,0.705,0,0.002258,0.17687
"BasinCreek051120_
04",BC,1214795,2309655,803.8,27.1,5/11/20,-1.006,0.004,0.306,0,0.001002,0.076619
"BasinCreek051120_
05",BC,1214746,2309633,803.3,27.5,5/11/20,-1.605,0.005,0.492,0,0.00125,0.122951
"BasinCreek051120_
06",BC,1214702,2309610,803.4,27.9,5/11/20,243.508,0.021,9.7,60.77956,0.005242,2.421118
"BasinCreek051120_
07",BC,1214698,2309637,803.4,28.3,5/11/20,93.863,0.016,4.4,23.3971,0.003988,1.096782
"BasinCreek051120_
08",BC,1214686,2309664,803.4,28.7,5/11/20,357.365,0.041,7.248,88.96184,0.010206,1.804305
"BasinCreek051120_
09",BC,1214650,2309730,803.5,29.2,5/11/20,243.017,0.048,3.732,60.40372,0.011931,0.927617
"BasinCreek051120_
10",BC,1214665,2309748,803.5,29.6,5/11/20,178.369,0.007,3.634,44.27639,0.001738,0.902065
"BasinCreek051120_
11",BC,1214662,2309768,804.1,30.1,5/11/20,735.222,0.009,22.705,182.3387,0.002232,5.630952
"BasinCreek051120_
12",BC,1214595,2309737,804.1,30.6,5/11/20,-1.14,0.013,3.257,0,0.003219,0.806423
"BasinCreek051120_
13",BC,1214566,2309720,803.3,31.1,5/11/20,-1.647,0.009,0.85,0,0.002222,0.209902
"BasinCreek051120_
14",BC,1214512,2309776,802.9,31.6,5/11/20,-0.736,0.012,0.277,0,0.002957,0.068257
"BasinCreek051120_
15",BC,1214496,2309776,803,31.9,5/11/20,-0.612,0.006,0.284,0,0.001477,0.069922
"BasinCreek051120_
16",BC,1214491,2309795,803,32.3,5/11/20,-2.765,0.009,0.568,0,0.002213,0.139661
"BasinCreek051120_
17",BC,1214460,2309813,803,32.7,5/11/20,-1.349,0.014,6.482,0,0.003438,1.591722
"BasinCreek051120_
18",BC,1214435,2309839,803.1,33,5/11/20,421.049,0.014,2.64,103.3045,0.003435,0.647725
"BasinCreek051120_
19",BC,1214427,2309834,803.1,33.4,5/11/20,455.2,0.014,4.59,111.5377,0.00343,1.124688
"BasinCreek051120_
20",BC,1214456,2309832,803.3,33.7,5/11/20,91.112,0.014,5.978,22.30891,0.003428,1.463722
"BasinCreek051120_
21",BC,1214465,2309828,803.3,34,5/11/20,174.748,0.013,2.991,42.74552,0.00318,0.731636
"BasinCreek051120_
22",BC,1214472,2309846,803.1,34.5,5/11/20,-0.383,0.001,0.017,0,0.000244,0.004151
"BasinCreek051120_
23",BC,1214629,2309944,803.1,34.9,5/11/20,-0.304,0.003,0.831,0,0.000732,0.202629
"BasinCreek051120_
24",BC,1214418,2310003,804.2,35.3,5/11/20,-1.437,0.008,1.074,0,0.001951,0.2619
"BasinCreek051120_
25",BC,1214509,2310064,803.7,35.6,5/11/20,-4.669,0.012,1.811,0,0.002922,0.440917
"BasinCreek051120_
26",BC,1214523,2310089,804.9,35.8,5/11/20,-2.653,0.012,1.392,0,0.002924,0.339191
"BasinCreek051120_
27",BC,1214555,2310107,805,36,5/11/20,32.731,0.013,3.528,7.971444,0.003166,0.859224
"BasinCreek051120_
28",BC,1214589,2310133,805.5,36.2,5/11/20,-0.67,0.015,0.439,0,0.003653,0.106913
"BasinCreek051120_
29",BC,1214772,2310165,805.7,36.6,5/11/20,-4.765,0.008,1.235,0,0.001946,0.300455
"BasinCreek051120_
30",BC,1214880,2310182,805.4,36.8,5/11/20,-3.505,0.01,1.331,0,0.00243,0.323481
"BasinCreek051120_
31",BC,1214892,2310182,805.4,37,5/11/20,-1.151,0.01,0.957,0,0.002429,0.232436
"BasinCreek051120_
32",BC,1214940,2310182,805.3,37.1,5/11/20,-3.956,0.01,2.234,0,0.002428,0.542351
"BasinCreek051120_
33",BC,1215051,2310126,805.1,37.4,5/11/20,-1.188,0.01,1.083,0,0.002425,0.262602
"BasinCreek051120_
34",BC,1215054,2309966,804.5,37.8,5/11/20,-2.433,0.004,0.644,0,0.000968,0.155838
"BasinCreek051120_
35",BC,1215068,2309829,803.8,38.1,5/11/20,-3.029,0.014,1.644,0,0.003382,0.397092
"BasinCreek051120_
36",BC,1215065,2309703,802.6,38.4,5/11/20,-3.443,0.01,1.208,0,0.002409,0.291065
"BasinCreek051120_
37",BC,1214952,2309580,802.6,38.6,5/11/20,-3.492,-0.01,0.125,0,0,0.030099
"BasinCreek051120_
38",BC,1214880,2309463,802.3,38.9,5/11/20,-3.669,0.005,0.402,0,0.001202,0.09667
"BasinCreek051120_
39",BC,1214786,2309411,800.7,39.1,5/11/20,-4.213,0.017,0.546,0,0.004077,0.130952
"BasinCreek051120_
40",BC,1214790,2309189,799.8,39.3,5/11/20,-3.59,0.008,0.652,0,0.001915,0.156099
"BasinCreek051120_
41",BC,1214798,2309053,798,39.5,5/11/20,-3.618,0.02,0.674,0,0.004774,0.1609
"BasinCreek051120_
42",BC,1214584,2309142,796.5,40.5,5/11/20,-1.622,-0.006,-0.347,0,0,0
"BasinCreek051120_
43",BC,1214541,2309315,796,40.8,5/11/20,-3.427,-0.002,1.009,0,0,0.239274
"BasinCreek051120_
44",BC,1214654,2309312,796.5,40.9,5/11/20,-2.648,0.008,0.833,0,0.001898,0.197598
"BasinCreek051120_
45",BC,1214658,2309302,796.5,41,5/11/20,5.534,0.019,4.439,1.312318,0.004506,1.052652
"BasinCreek051120_
46",BC,1214652,2309345,797.9,41.1,5/11/20,13.975,0.023,4.61,3.318762,0.005462,1.094776
"BasinCreek051120_
47",BC,1214659,2309368,798.1,41.3,5/11/20,-3.304,-0.001,0.988,0,0,0.234538
"BasinCreek051120_
48",BC,1214687,2309401,798.5,41.4,5/11/20,36.905,0.012,8.66,8.762369,0.002849,2.056147
"BasinCreek051120_
49",BC,1214737,2309389,798.8,41.6,5/11/20,0,0.011,1.368,0,0.002611,0.32472
"BasinCreek051120_
50",BC,1214578,2309569,798.8,41.6,5/11/20,-0.099,0.003,0.201,0,0.000712,0.047711
"BasinCreek051120_
51",BC,1214646,2309689,800.7,41.6,5/11/20,56.685,0.015,9.71,13.48725,0.003569,2.310332
"BasinCreek051120_
52",BC,1214643,2309702,800.7,41.6,5/11/20,198.045,0.242,5.423,47.12149,0.05758,1.290312
"BasinCreek051120_
53",BC,1214648,2309733,801.2,41.6,5/11/20,1383.147,2.659,14.299,329.3022,0.63306,3.404332
"BasinCreek051220_
100",BC,1214611,2308617,795.6,42.2,5/12/20,-0.425,0.026,3.265,0,0.006135,0.770435
"BasinCreek051220_
101",BC,1214695,2308769,790.4,42.3,5/12/20,-1.13,0.024,1.695,0,0.005624,0.397226
"BasinCreek051220_
102",BC,1214656,2308808,791.7,42.4,5/12/20,-1.678,-0.01,0.677,0,0,0.158866
"BasinCreek051220_
103",BC,1214667,2308860,792.1,42.6,5/12/20,-1.277,0.001,0.259,0,0.000235,0.06077
"BasinCreek051220_
104",BC,1214455,2308609,792.1,42.7,5/12/20,-3.689,0.019,1.346,0,0.004457,0.315715
"BasinCreek051220_
105",BC,1214383,2308823,791,42.8,5/12/20,-0.927,0.008,1.647,0,0.001873,0.385658
"BasinCreek051220_
106",BC,1214422,2308855,791.4,42.8,5/12/20,11.513,0,-0.171,2.697226,0,0
"BasinCreek051220_
107",BC,1209768,2304538,795.6,30,5/14/20,0,-0.006,0.337,0,0,0.082721
"BasinCreek051220_
108",BC,1209966,2304587,795.6,31.1,5/14/20,0,-0.028,0.285,0,0,0.069704
"BasinCreek051220_
109",BC,1209964,2304390,795.2,32,5/14/20,-0.049,-0.015,5.51,0,0,1.342968
"BasinCreek051220_
110",BC,1210112,2304411,794.9,32.8,5/14/20,0,-0.005,2.347,0,0,0.57033
"BasinCreek051220_
111",BC,1210165,2304355,794.9,33.5,5/14/20,0,-0.002,2.279,0,0,0.552542
"BasinCreek051220_
112",BC,1210195,2304205,794.8,34,5/14/20,0,-0.031,3.67,0,0,0.888228
"BasinCreek051220_
113",BC,1210164,2304025,794.1,34.7,5/14/20,0,-0.006,0.315,0,0,0.075997
"BasinCreek051220_
114",BC,1210147,2303797,794.2,35.3,5/14/20,0,-0.011,0.69,0,0,0.166167
"BasinCreek051220_
115",BC,1210182,2303548,794.6,35.8,5/14/20,0,-0.026,0.53,0,0,0.127493
"BasinCreek051220_
116",BC,1210164,2303373,794.4,36.4,5/14/20,-0.23,-0.03,0.421,0,0,0.101051
"BasinCreek051220_
117",BC,1210028,2303360,794.2,36.9,5/14/20,0,0,0.771,0,0,0.184716
"BasinCreek051220_
118",BC,1210023,2303164,795.2,37.3,5/14/20,0,-0.016,0.138,0,0,0.033061
"BasinCreek051220_
119",BC,1210016,2302983,795.5,37.6,5/14/20,0,0.027,0.281,0,0.006465,0.06728
"BasinCreek051220_
120",BC,1210005,2302848,795,37.9,5/14/20,0,-0.018,0.257,0,0,0.061436
"BasinCreek051220_
121",BC,1209896,2302681,794.6,38.2,5/14/20,0,-0.006,1.325,0,0,0.316276
"BasinCreek051220_
122",BC,1209735,2302819,793.8,38.5,5/14/20,-0.301,-0.034,1.593,0,0,0.379499
"BasinCreek051220_
123",BC,1209733,2302880,792.2,38.7,5/14/20,7.097,0.005,2.026,1.686223,0.001188,0.481371
"BasinCreek051220_
124",BC,1209733,2302912,792.2,39,5/14/20,-0.074,0.011,0.398,0,0.002611,0.094473
"BasinCreek051220_
125",BC,1209734,2302930,792.5,39.2,5/14/20,6.22,-0.002,0.486,1.476044,0,0.115331
"BasinCreek051220_
126",BC,1209718,2303025,792.8,39.3,5/14/20,16.09,-0.013,5.145,3.818478,0,1.221011
"BasinCreek051220_
127",BC,1209728,2303152,793,39.6,5/14/20,78.401,-0.004,19.728,18.59296,0,4.678537
"BasinCreek051220_
128",BC,1209675,2303249,794.4,40.6,5/14/20,9.132,0.015,6.712,2.162582,0.003552,1.589493
"BasinCreek051220_
129",BC,1209671,2303280,794.1,40.8,5/14/20,14.45,-0.031,6.707,3.418485,0,1.586697
"BasinCreek051220_
130",BC,1209798,2303333,794,41.1,5/14/20,-13.813,-0.011,0.009,0,0,0.002127
"BasinCreek051220_
131",BC,1209810,2303511,795,41.3,5/14/20,0,-0.036,0.858,0,0,0.202887
"BasinCreek051220_
132",BC,1209738,2303518,794.6,41.4,5/14/20,4.789,0.018,28.946,1.131501,0.004253,6.839093
"BasinCreek051220_
133",BC,1209693,2303621,794.4,41.6,5/14/20,0,-0.001,2.021,0,0,0.47708
"BasinCreek051220_
134",BC,1209682,2303747,793.7,41.6,5/14/20,0,-0.033,8.596,0,0,2.027394
"BasinCreek051220_
135",BC,1209751,2303772,793.7,41.8,5/14/20,0,-0.041,-2.071,0,0,0
"BasinCreek051220_
136",BC,1209792,2303943,794.1,41.8,5/14/20,-0.35,-0.048,0.605,0,0,0.142672
"BasinCreek051220_
137",BC,1209796,2304197,794.1,41.8,5/14/20,-0.37,-0.012,7.715,0,0,1.819368
"BasinCreek051220_
138",BC,1209789,2304385,794.5,41.8,5/14/20,-0.389,0,3.216,0,0,0.758786
"BasinCreek051220_
139",BC,1209961,2304176,794,41.8,5/14/20,-0.243,-0.044,1.91,0,0,0.450364
"BasinCreek051220_
140",BC,1209983,2303945,800.2,41.8,5/14/20,0,0.004,0.328,0,0.000951,0.077944
"BasinCreek051220_
141",BC,1210009,2303850,794.8,41.7,5/14/20,0,-0.025,0.989,0,0,0.233508
"BasinCreek051220_
142",BC,1210001,2303568,795,41.6,5/14/20,-0.284,-0.055,0.328,0,0,0.077487
"BasinCreek051220_
54",BC,1214309,2310091,802.9,29.7,5/12/20,5.453,-0.014,6.911,1.352136,0,1.713665
"BasinCreek051220_
55",BC,1214262,2310105,802.9,30.6,5/12/20,-2.629,0.003,3.272,0,0.000742,0.808927
"BasinCreek051220_
56",BC,1214212,2309969,802.5,31.5,5/12/20,-1.153,0.002,0.047,0,0.000493,0.01158
"BasinCreek051220_
57",BC,1214224,2309811,800,32.2,5/12/20,-0.636,0.004,0.93,0,0.00098,0.22789
"BasinCreek051220_
58",BC,1214295,2309723,798.7,32.9,5/12/20,-0.891,0.008,2.475,0,0.001953,0.604112
"BasinCreek051220_
59",BC,1214335,2309619,804.1,33.6,5/12/20,0,0.004,1.112,0,0.000981,0.272635
"BasinCreek051220_
60",BC,1214356,2309380,802.9,35.2,5/12/20,-0.001,0.012,1.318,0,0.002922,0.320984
"BasinCreek051220_
61",BC,1214324,2309170,792.2,35.7,5/12/20,-1.232,0.003,1.949,0,0.00072,0.467574
"BasinCreek051220_
62",BC,1214210,2309070,792.2,36.5,5/12/20,-1.133,0.004,-0.577,0,0.000957,0
"BasinCreek051220_
63",BC,1214264,2308965,790.1,37.1,5/12/20,-1.25,0.021,1.154,0,0.005002,0.27487
"BasinCreek051220_
64",BC,1214116,2308779,789.4,38.1,5/12/20,-2.223,0.008,0.372,0,0.001898,0.088243
"BasinCreek051220_
65",BC,1214069,2308639,787.8,38.5,5/12/20,-0.69,0.005,0.264,0,0.001182,0.062417
"BasinCreek051220_
66",BC,1214026,2308604,787.2,38.7,5/12/20,-2.255,0,0.215,0,0,0.050761
"BasinCreek051220_
67",BC,1213935,2308438,787.2,38.7,5/12/20,-2.443,-0.002,1.432,0,0,0.338091
"BasinCreek051220_
68",BC,1214015,2308268,785.6,38.7,5/12/20,-2.427,0.001,0.413,0,0.000236,0.09731
"BasinCreek051220_
69",BC,1214138,2308105,787.1,38.6,5/12/20,-1.519,-0.001,1.371,0,0,0.323752
"BasinCreek051220_
70",BC,1214200,2307927,787.5,37.5,5/12/20,-1.003,0.008,1.892,0,0.001897,0.448592
"BasinCreek051220_
71",BC,1214321,2307828,785.1,37.5,5/12/20,-2.41,0.011,2.428,0,0.0026,0.573923
"BasinCreek051220_
72",BC,1214511,2307745,782.8,37.7,5/12/20,-2.035,0.019,3.599,0,0.004475,0.847682
"BasinCreek051220_
73",BC,1214607,2307624,781.3,37.9,5/12/20,-1.579,0.001,0.715,0,0.000235,0.167975
"BasinCreek051220_
74",BC,1214720,2307590,779.4,38.2,5/12/20,-0.57,0.01,0.244,0,0.002341,0.057128
"BasinCreek051220_
75",BC,1214849,2307438,778.7,38.6,5/12/20,-2.153,0.01,0.306,0,0.002336,0.071489
"BasinCreek051220_
76",BC,1214910,2307348,777.3,38.9,5/12/20,-1.561,0.014,13.34,0,0.003262,3.107931
"BasinCreek051220_
77",BC,1214977,2307511,776.9,39.4,5/12/20,-3.316,0.019,-0.62,0,0.004417,0
"BasinCreek051220_
78",BC,1215147,2307407,786.8,39.8,5/12/20,32.972,0.029,6.68,7.753286,0.006819,1.570786
"BasinCreek051220_
79",BC,1215357,2307346,780.5,40,5/12/20,-2.042,0.026,2.848,0,0.006061,0.663914
"BasinCreek051220_
80",BC,1215361,2307489,779.5,40.4,5/12/20,-1.833,0.009,1.094,0,0.002093,0.254377
"BasinCreek051220_
81",BC,1215199,2307586,786.4,41,5/12/20,-0.001,0.025,1.079,0,0.005853,0.252627
"BasinCreek051220_
82",BC,1215180,2307730,782.4,41.2,5/12/20,0,0.043,0.343,0,0.01001,0.079847
"BasinCreek051220_
83",BC,1215078,2307779,783.5,41.3,5/12/20,0,0.022,1.359,0,0.005127,0.316707
"BasinCreek051220_
84",BC,1215032,2307953,783.7,41.4,5/12/20,-0.762,0.016,2.327,0,0.003728,0.54226
"BasinCreek051220_
85",BC,1214977,2308142,784.8,41.4,5/12/20,-2.259,0.005,1.021,0,0.001167,0.238257
"BasinCreek051220_
86",BC,1214969,2308254,786.5,41.4,5/12/20,-2.61,0.019,0.754,0,0.004443,0.176332
"BasinCreek051220_
87",BC,1214800,2308180,787.1,41.3,5/12/20,-2.928,-0.024,0.189,0,0,0.044248
"BasinCreek051220_
88",BC,1214689,2308066,787.4,40.9,5/12/20,0,0.003,0.509,0,0.000704,0.119362
"BasinCreek051220_
89",BC,1214611,2308060,784.1,40.9,5/12/20,0,0.017,1.534,0,0.00397,0.358219
"BasinCreek051220_
90",BC,1214622,2308029,784,41,5/12/20,4.864,-0.053,1.449,1.135334,0,0.338219
"BasinCreek051220_
91",BC,1214701,2307852,783.9,41.4,5/12/20,-1.636,0.008,0.418,0,0.001865,0.097431
"BasinCreek051220_
92",BC,1214398,2307961,780.9,41.8,5/12/20,-1.114,0.006,0.392,0,0.001391,0.090906
"BasinCreek051220_
93",BC,1214390,2308090,784.6,41.9,5/12/20,0,0.032,0.21,0,0.007454,0.048915
"BasinCreek051220_
94",BC,1214276,2308161,785.9,42,5/12/20,-1.97,0.007,0.479,0,0.001633,0.111721
"BasinCreek051220_
95",BC,1214207,2308305,787.4,42,5/12/20,0,0.028,1.183,0,0.006543,0.276448
"BasinCreek051220_
96",BC,1214305,2308358,788.5,42,5/12/20,-0.765,0.013,0.419,0,0.003042,0.09805
"BasinCreek051220_
97",BC,1214503,2308414,795.3,42,5/12/20,-1.321,0.026,0.622,0,0.006137,0.14681
"BasinCreek051220_
98",BC,1214689,2308564,791,42,5/12/20,-0.967,0.009,0.65,0,0.002113,0.152589
"BasinCreek051220_
99",BC,1214732,2308499,789.4,42.1,5/12/20,-0.089,0.014,-0.117,0,0.003279,0
"BasinCreek051520_
144",BC,1209623,2304195,796.8,26.5,5/15/20,-0.564,-0.002,0.157,0,0,0.039047
"BasinCreek051520_
145",BC,1209566,2303924,797,28.2,5/15/20,-0.903,0.001,1.689,0,0.000247,0.417799
"BasinCreek051520_
146",BC,1209542,2303756,795.9,29.4,5/15/20,3.852,0.001,2.935,0.947761,0.000246,0.722139
"BasinCreek051520_
147",BC,1209392,2303767,795.5,30.8,5/15/20,-1.283,0.003,0.692,0,0.000734,0.169393
"BasinCreek051520_
148",BC,1209380,2303612,795,32.9,5/15/20,-1.463,0.014,0.784,0,0.003401,0.190477
"BasinCreek051520_
149",BC,1209433,2303532,793.6,34.2,5/15/20,18.994,-0.002,3.2,4.587077,0,0.772804
"BasinCreek051520_
150",BC,1209413,2303502,800,34.7,5/15/20,2.398,0.002,2.529,0.582842,0.000486,0.614682
"BasinCreek051520_
151",BC,1209373,2303484,793.6,35.3,5/15/20,-1.876,0.004,0.464,0,0.000963,0.111657
"BasinCreek051520_
152",BC,1209442,2303421,793.6,36.2,5/15/20,-1.579,0.003,0.773,0,0.00072,0.185474
"BasinCreek051520_
153",BC,1209583,2303505,793.4,37.1,5/15/20,-2.607,0.009,2.986,0,0.002153,0.714202
"BasinCreek051520_
154",BC,1209609,2303508,793.2,37.7,5/15/20,-1.683,0.007,2.333,0,0.001671,0.556798
"BasinCreek051520_
155",BC,1209563,2303406,793.3,38.5,5/15/20,6.223,0.003,4.038,1.481567,0.000714,0.961364
"BasinCreek051520_
156",BC,1209528,2303173,792.2,39.5,5/15/20,-1.247,0.003,1.895,0,0.000711,0.449093
"BasinCreek051520_
157",BC,1209355,2303113,854.2,40.4,5/15/20,-0.002,0.004,0.812,0,0.001019,0.2069
"BasinCreek051520_
158",BC,1209255,2303086,789.4,40.6,5/15/20,-5.733,-0.001,0.6,0,0,0.141194
"BasinCreek051520_
159",BC,1209206,2303002,788.4,40.7,5/15/20,-3.332,0.005,0.321,0,0.001175,0.075419
"BasinCreek051520_
160",BC,1209295,2302970,788,40.8,5/15/20,-4.561,-0.005,0.401,0,0,0.094137
"BasinCreek051520_
161",BC,1209213,2302833,787.2,40.9,5/15/20,-7.083,-0.008,0.701,0,0,0.164345
"BasinCreek051520_
162",BC,1209198,2302812,785.6,41,5/15/20,-1.935,-0.001,0.703,0,0,0.164426
"BasinCreek051520_
163",BC,1209333,2302726,785.8,41,5/15/20,-3.274,-0.008,0.874,0,0,0.204474
"BasinCreek051520_
164",BC,1209417,2302695,786.8,41.1,5/15/20,-3.242,0.002,0.432,0,0.000468,0.101164
"BasinCreek051520_
165",BC,1209519,2302661,787.5,41.2,5/15/20,16.832,0.002,7.449,3.943882,0.000469,1.745365
"BasinCreek051520_
166",BC,1209498,2302745,788.2,41.3,5/15/20,-2.263,-0.009,1.386,0,0,0.324937
"BasinCreek051520_
167",BC,1209496,2302752,788.2,41.4,5/15/20,-0.889,0,0.495,0,0,0.116012
"BasinCreek051520_
168",BC,1209479,2302788,787.9,41.3,5/15/20,-2.992,-0.008,1.588,0,0,0.372153
"BasinCreek051520_
169",BC,1209472,2302833,787.8,41.1,5/15/20,-0.975,-0.005,0.357,0,0,0.083707
"BasinCreek051520_
170",BC,1209504,2302829,788.2,41,5/15/20,10.562,-0.003,2.554,2.478544,0,0.599337
"BasinCreek051520_
171",BC,1209510,2302838,788.2,40.8,5/15/20,0,0.01,1.255,0,0.002348,0.294694
"BasinCreek051520_
172",BC,1209511,2302811,788.4,40.6,5/15/20,-0.004,0.001,6.22,0,0.000235,1.461855
"BasinCreek051520_
173",BC,1209520,2302796,788.4,40.6,5/15/20,102280.4,8.614,1546.295,24038.44,2.024505,363.4179
"BasinCreek051520_
174",BC,1209520,2302792,794.4,40.5,5/15/20,2012.413,0,75.056,476.7187,0,17.77995
"BasinCreek051520_
175",BC,1209515,2302793,788.4,38.8,5/15/20,-34.251,-0.144,0.37,0,0,0.087461
"BasinCreek051520_
176",BC,1209519,2302797,788.2,39.4,5/15/20,714.824,0.019,27.051,168.6037,0.004481,6.380451
"BasinCreek051520_
177",BC,1209511,2302796,788,39.8,5/15/20,-2.795,-0.01,2.588,0,0,0.60949
"BasinCreek051520_
178",BC,1209507,2302794,787.9,40.1,5/15/20,-1.564,-0.006,3.483,0,0,0.819379
"BasinCreek051520_
179",BC,1209526,2302783,787.9,40.3,5/15/20,-2.67,-0.005,3.686,0,0,0.866581
"BasinCreek051520_
180",BC,1209543,2302768,793,40.5,5/15/20,0,0.019,0.589,0,0.004493,0.139282
"BasinCreek051520_
181",BC,1209574,2302769,788.7,40.6,5/15/20,-0.162,-0.009,0.633,0,0,0.148827
"BasinCreek051520_
182",BC,1209563,2302798,789,40.7,5/15/20,0,-0.006,0.369,0,0,0.086763
"BasinCreek051520_
183",BC,1209552,2302826,789,40.8,5/15/20,0,-0.014,1.057,0,0,0.248452
"BasinCreek051520_
184",BC,1209530,2303007,788.8,40.9,5/15/20,0,0.001,4.671,0,0.000235,1.097309
"BasinCreek051520_
185",BC,1209632,2303053,790.5,41,5/15/20,384.94,0.011,49.644,90.59599,0.002589,11.68376
"BasinCreek051520_
186",BC,1210315,2304317,793.2,40.7,5/15/20,-1.223,0.001,0.07,0,0.000236,0.016547
"BasinCreek051520_
187",BC,1210428,2304445,793.7,40.7,5/15/20,0,-0.002,8.931,0,0,2.112445
"BasinCreek051520_
188",BC,1210398,2304464,793.8,40.8,5/15/20,6.031,-0.002,27.439,1.426235,0,6.488883
"BasinCreek051520_
189",BC,1210351,2304519,793.6,41,5/15/20,-4.903,-0.002,4.213,0,0,0.995422
"BasinCreek051520_
190",BC,1210379,2304545,793,41.1,5/15/20,-6.212,0.001,11.987,0,0.000236,2.829173
"BasinCreek051520_
191",BC,1210334,2304553,792.8,41.2,5/15/20,-1.56,-0.01,-0.191,0,0,0
"BasinCreek051520_
192",BC,1210357,2304606,792.6,41.3,5/15/20,-1.501,-0.01,0.222,0,0,0.052337
"BasinCreek051520_
193",BC,1210323,2304608,792.6,41.4,5/15/20,0,0.001,0.169,0,0.000236,0.039829
"BasinCreek051520_
194",BC,1210297,2304719,791.9,41.5,5/15/20,-0.91,-0.001,0.428,0,0,0.100748
"BasinCreek051520_
195",BC,1210223,2304555,791.5,41.6,5/15/20,-0.289,-0.001,0.378,0,0,0.088905
"BasinCreek051520_
196",BC,1210280,2304498,793,41.7,5/15/20,0,-0.004,0.437,0,0,0.102944
"BasinCreek051520_
197",BC,1210305,2304503,793.3,41.7,5/15/20,0,0.007,3.05,0,0.00165,0.718761
"BasinCreek051520_
198",BC,1210309,2304508,793.3,41.7,5/15/20,3768.568,0.013,28.064,888.0987,0.003064,6.613547
"BasinCreek051520_
199",BC,1210318,2304526,793.3,41.6,5/15/20,-0.195,0.023,0.682,0,0.005422,0.160771
"BasinCreek051520_
200",BC,1210334,2304521,793,41.6,5/15/20,0,0.018,1.521,0,0.004242,0.358416
"BasinCreek051520_
201",BC,1210324,2304544,792.9,41.7,5/15/20,-2.501,0.002,0.48,0,0.000471,0.113059
"BasinCreek051520_
202",BC,1210298,2304530,792.9,41.7,5/15/20,-2.218,0.005,1.123,0,0.001178,0.264512
"BasinCreek051820_
203",BC,1209773,2302428,795.6,32.3,5/18/20,-2.661,-0.007,0.161,0,0,0.039222
