SitePt,Area,Northing,Easting,Date Time,CH4 Flux,H2S Flux,CO2 Flux,Pressure,Temp,CH4 Slope,H2S Slope,CO2 Slope
Baird061813_15,Baird,1230582.26,2330744.706,18-06-2013 09:35:21,0,0,0.040541586,786.0,33.3,0,-0.002,0.169
Baird061813_16,Baird,1230588.699,2330793.942,18-06-2013 09:37:51,0,0.003116326,0,786.2,33.6,0,0.013,-0.034000002
Baird061813_17,Baird,1230635.06,2330792.535,18-06-2013 09:40:08,0,0.002872702,0.047878366,785.9,33.9,0,0.012,0.200000003
Baird061813_18,Baird,1230679.011,2330794.509,18-06-2013 09:42:19,0,0.000717708,0.010047911,785.9,34.1,0,0.003,0.041999999
Baird061813_19,Baird,1230728.402,2330795.105,18-06-2013 09:44:42,0,0.002151024,0.034177378,785.9,34.4,0,0.009,0.143000007
Baird061813_20,Baird,1230731.811,2330745.654,18-06-2013 09:47:01,0,0.001194236,0.021496259,785.9,34.6,0,0.005,0.090000004
Baird061813_21,Baird,1230737.091,2330700.116,18-06-2013 09:50:06,0,0.000238645,0,786.0,34.9,0,0.001,-0.050000001
Baird061813_22,Baird,1230690.366,2330697.494,18-06-2013 09:52:50,0,0.000476765,0.027413994,785.9,35.2,0,0.002,0.115000002
Baird061813_23,Baird,1230637.474,2330694.732,18-06-2013 09:55:21,0,0.000714593,0.044066578,785.8,35.4,0,0.003,0.185000002
Baird061813_24,Baird,1230643.093,2330742.155,18-06-2013 09:58:04,0,0.000475993,0,785.9,35.7,0,0.002,-0.028999999
Baird061813_25,Baird,1230684.473,2330741.009,18-06-2013 10:00:29,0,0.001902499,0.055410273,785.8,35.9,0,0.008,0.232999995
BC060413_01,BC,1209749.358,2304575.207,04-06-2013 09:27:04,0,0,0.076178946,797.9,22.7,0,-0.001,0.301999986
BC060413_02,BC,1209753.372,2304364.366,04-06-2013 09:32:45,0,0.000250554,0.014031044,797.9,24.7,0,0.001,0.056000002
BC060413_03,BC,1209764.557,2304176.315,04-06-2013 09:40:11,0,0.000248707,0.007958636,798.4,27.1,0,0.001,0.032000002
BC060413_04,BC,1209763.179,2303961.555,04-06-2013 09:44:57,0,0,0,798.4,28.7,0,-0.001,-0.022
BC060413_05,BC,1209945.294,2303946.689,04-06-2013 09:54:25,0,0,0.045670688,799.0,31.2,0,0,0.186000004
BC060413_06,BC,1209955.139,2303834.335,04-06-2013 09:58:26,0,0.000244577,0.147724494,799.0,32.4,0,0.001,0.603999972
BC060413_07,BC,1209968.986,2303543.751,04-06-2013 10:03:27,0,0.00024362,0.001705342,799.0,33.6,0,0.001,0.007
BC060413_08,BC,1209980.103,2303353.318,04-06-2013 10:07:27,0,0.000242829,0.000728486,799.0,34.6,0,0.001,0.003
BC060413_09,BC,1209732.948,2303141.87,04-06-2013 10:18:15,0.512443721,0.000482073,2.379271984,798.0,36.5,2.125999928,0.002,9.87100029
BC060413_10,BC,1209746.283,2303008.358,04-06-2013 10:25:53,0,0.00072055,0.199592352,798.0,37.6,0,0.003,0.83099997
BC060413_100,BC,1209539.209,2302770.488,06-06-2013 17:10:26,0,0.001391607,0.245850548,788.2,44.7,0,0.006,1.059999943
BC060413_101,BC,1209519.221,2302793.732,06-06-2013 17:13:52,341.3019409,0.003480554,16.04349709,788.3,44.6,1470.89502,0.015,69.14199829
BC060413_102,BC,1209549.449,2303002.017,06-06-2013 17:21:34,0,0.00162467,0.498309642,788.5,44.6,0,0.007,2.147000074
BC060413_103,BC,1209556.808,2303132.722,06-06-2013 17:27:28,12.2404089,0.00163044,0.435793251,791.3,44.6,52.55199814,0.007,1.871000051
BC060413_104,BC,1209818.277,2302634.125,07-06-2013 09:08:55,0,0,0.516814411,799.9,23.9,0,-0.001,2.052000046
BC060413_105,BC,1209730.703,2302824.171,07-06-2013 09:15:04,0,0,0.181384057,799.9,26.3,0,-0.001,0.726000011
BC060413_106,BC,1209506.886,2301963.761,07-06-2013 09:35:30,16.35506439,0.000489409,4.210873604,796.8,31.4,66.83599854,0.002,17.20800018
BC060413_107,BC,1209515.203,2301754.512,07-06-2013 09:46:13,0,0.000723216,0.151634216,790.9,33.7,0,0.003,0.629000008
BC060413_108,BC,1209596.61,2301751.193,07-06-2013 09:54:12,0,0.000961053,0.054539733,792.1,35.2,0,0.004,0.226999998
BC060413_109,BC,1209664.445,2301955.043,07-06-2013 10:00:44,0,0.00048019,0.034813806,793.6,36.0,0,0.002,0.144999996
BC060413_11,BC,1209978.401,2303013.921,04-06-2013 10:31:04,0,0.000239493,0,797.5,38.3,0,0.001,-0.138999999
BC060413_110,BC,1209654.444,2302152.529,07-06-2013 10:07:09,0,0.000239677,0.003355483,793.5,36.5,0,0.001,0.014
BC060413_111,BC,1209322.704,2301752.058,07-06-2013 10:39:48,4.331353188,0.000236777,1.288774729,788.2,38.2,18.29299927,0.001,5.44299984
BC060413_112,BC,1209143.003,2301774.376,07-06-2013 10:49:32,0,0.000235347,0.050128948,784.7,38.7,0,0.001,0.213
BC060413_113,BC,1208954.425,2301778.129,07-06-2013 10:53:31,0,0,0.128846303,784.7,39.0,0,0,0.547999978
BC060413_114,BC,1208948.207,2301562.801,07-06-2013 11:00:41,0,0,0.047026943,785.5,39.3,-0.977999985,0,0.200000003
BC060413_115,BC,1208896.012,2301354.2,07-06-2013 11:08:05,0,0.000468173,0.002809036,784.0,40.1,0,0.002,0.012
BC060413_116,BC,1208965.192,2301141.775,07-06-2013 11:19:10,0,0,0.17066516,785.5,41.1,0,0,0.730000019
BC060413_117,BC,1209029.869,2301043.443,07-06-2013 11:26:42,0,0,0.062083658,788.9,41.8,0,0,0.264999986
BC060413_118,BC,1208976.625,2300963.581,07-06-2013 11:33:27,0,0.00070172,0.061049633,788.9,42.3,0,0.003,0.261000007
BC060413_119,BC,1209121.119,2300921.302,07-06-2013 11:38:49,0,0.000233758,0.151709214,788.9,42.5,0,0.001,0.648999989
BC060413_12,BC,1209995.048,2303185.113,04-06-2013 10:34:48,0,0.000478879,0,798.6,38.8,0,0.002,-0.044
BC060413_120,BC,1209148.135,2300765.468,07-06-2013 11:46:10,0,0.000466599,0,788.1,42.8,0,0.002,-0.029999999
BC060413_121,BC,1208971.647,2300794.489,07-06-2013 11:53:00,1.425204158,0.000464766,0.379248857,785.5,43.0,6.132999897,0.002,1.631999969
BC060413_122,BC,1208925.909,2300550.515,07-06-2013 12:05:20,0,0.000699677,0.331413895,788.1,42.9,0,0.003,1.421000004
BC060413_123,BC,1208756.127,2300556.881,07-06-2013 12:15:27,0,,0.02149055,781.1,43.0,0,,0.093000002
BC060413_124,BC,1208744.138,2300367.432,07-06-2013 12:23:49,0,0.000692805,0.072975487,781.1,43.2,0,0.003,0.316000015
BC060413_125,BC,1208684.322,2300155.126,07-06-2013 12:34:45,0,0.000918257,0.114552602,777.2,43.5,0,0.004,0.499000013
BC060413_126,BC,1208713.327,2299971.205,07-06-2013 12:45:23,0,0.00183802,0.134405181,777.1,43.2,0,0.008,0.584999979
BC060413_127,BC,1208930.181,2300156.169,07-06-2013 12:58:32,0,0.004158583,0.354634702,779.7,42.5,0,0.017999999,1.534999967
BC060413_128,BC,1208973.047,2300357.561,07-06-2013 13:10:24,0,0.000463369,0.254389346,781.9,42.5,0,0.002,1.09800005
BC060413_129,BC,1209077.127,2300573.617,07-06-2013 13:19:38,0,0.001160276,0.361077905,783.4,42.6,0,0.005,1.555999994
BC060413_13,BC,1209735.243,2303331.91,04-06-2013 10:39:26,0,0.00119573,0.02295801,798.9,39.3,0,0.005,0.096000001
BC060413_130,BC,1209082.143,2301335.364,07-06-2013 13:41:29,0,0.001388281,0.096948266,783.1,43.4,0,0.006,0.419
BC060413_131,BC,1209133.587,2301380.525,07-06-2013 13:45:14,0,0.00209147,0.729226053,787.0,43.6,-0.515999973,0.009,3.138000011
BC060413_132,BC,1209174.521,2301547.665,07-06-2013 13:57:05,0,0.002542637,0.422540009,783.8,44.0,0,0.011,1.827999949
BC060413_133,BC,1209352.598,2301565.292,07-06-2013 14:05:42,0,0.001618042,0.176828831,783.8,44.0,0,0.007,0.764999986
BC060413_134,BC,1209511.609,2301582.751,07-06-2013 14:12:45,0,0.00092984,0.440743893,787.5,43.7,-0.030999999,0.004,1.896000028
BC060413_135,BC,1211176.447,2304962.04,10-06-2013 09:09:21,0,0,0.017913701,799.5,27.4,0,-0.003,0.071999997
BC060413_136,BC,1211169.695,2304757.542,10-06-2013 09:15:04,0,0,0,799.5,28.1,0,-0.001,-8.751999855
BC060413_137,BC,1211132.268,2304587.644,10-06-2013 09:22:12,0,0,0.821171999,791.2,29.1,0,-0.001,3.354000092
BC060413_138,BC,1211152.555,2304357.957,10-06-2013 09:28:23,0,0,0.062488124,794.0,29.9,0,-0.001,0.254999995
BC060413_139,BC,1211149.172,2304183.843,10-06-2013 09:32:33,0,0.000245603,0,797.1,30.4,0,0.001,-0.412999988
BC060413_14,BC,1209756.196,2303531.711,04-06-2013 10:47:08,0,0,0.013600083,798.6,39.9,0,-0.001,0.057
BC060413_140,BC,1211186.664,2303998.796,10-06-2013 09:54:37,0,0,0.014327926,797.5,34.0,0,0,0.059
BC060413_141,BC,1211170.353,2303809.49,10-06-2013 10:05:19,0,0.000240951,0,797.2,36.3,0,0.001,-0.158999994
BC060413_142,BC,1211375.617,2303750.937,10-06-2013 10:25:44,0,0.002845992,0.479075283,793.3,39.7,0,0.012,2.019999981
BC060413_143,BC,1211364.104,2303914.043,10-06-2013 10:35:13,0,0.001416844,0.009209485,792.9,40.9,0,0.006,0.039000001
BC060413_144,BC,1211372.712,2304179.44,10-06-2013 10:45:55,0,0.000945853,0.023882784,795.5,41.5,0,0.004,0.101000004
BC060413_145,BC,1211349.614,2304394.88,10-06-2013 10:51:30,0,0.000944777,0.049364582,795.1,41.7,0,0.004,0.209000006
BC060413_146,BC,1211322.736,2304588.035,10-06-2013 10:59:03,0,0.001653042,0.14098087,795.2,41.8,0,0.007,0.597000003
BC060413_147,BC,1211337.684,2304779.186,10-06-2013 11:06:27,0,0.000941507,0.015299488,792.6,41.8,0,0.004,0.064999998
BC060413_148,BC,1211344.785,2304972.652,10-06-2013 11:13:43,0,0.001407984,0.063124619,790.2,41.8,0,0.006,0.268999994
BC060413_149,BC,1211530.391,2304972.649,10-06-2013 11:17:21,0,0.00046906,0,790.0,41.9,0,0.002,-0.425999999
BC060413_15,BC,1209740.123,2303739.77,04-06-2013 10:52:56,0,0,0,798.2,40.2,0,0,-0.388000011
BC060413_150,BC,1211550.192,2304735.692,10-06-2013 11:22:29,0,0.001171612,0.042646669,789.3,41.9,0,0.005,0.181999996
BC060413_151,BC,1211554.138,2304552.504,10-06-2013 11:28:41,0,0.00116983,0.086801395,788.6,42.1,0,0.005,0.370999992
BC060413_152,BC,1211564.84,2304361.268,10-06-2013 11:34:57,0,0.00586582,0.190991089,791.6,42.4,0,0.025,0.81400001
BC060413_153,BC,1211550.384,2304169.178,10-06-2013 11:40:42,0,0.001175383,0.034086108,793.6,42.6,0,0.005,0.144999996
BC060413_154,BC,1211735.837,2304143.33,10-06-2013 11:49:15,0,0.001875157,0,792.3,43.0,0,0.008,-0.202999994
BC060413_155,BC,1211969.909,2304538.158,10-06-2013 12:01:15,0,0.002098646,0.179550797,789.7,43.6,0,0.009,0.769999981
BC060413_156,BC,1211747.428,2304555.224,10-06-2013 12:07:19,0,0.001624028,0.038976677,786.7,44.0,0,0.007,0.167999998
BC060413_157,BC,1211725.405,2304359.272,10-06-2013 12:13:08,0,0.002093222,0.058610234,789.4,44.3,0,0.009,0.252000004
BC060413_158,BC,1211959.455,2304391.283,10-06-2013 12:23:53,0,0.00209245,0.124384515,790.6,44.9,0,0.009,0.535000026
BC060413_159,BC,1211973.251,2304147.252,10-06-2013 12:34:54,0,0.002312332,0.072838448,787.3,45.3,0,0.01,0.314999998
BC060413_16,BC,1209948.999,2304154.184,04-06-2013 11:01:38,0,0.00095185,0,798.0,40.5,0,0.004,-0.203999996
BC060413_160,BC,1212148.032,2304154.2,10-06-2013 12:40:00,0,0.001156614,0.042332079,788.1,45.5,0,0.005,0.182999998
BC060413_161,BC,1212130.722,2304338.258,10-06-2013 12:46:59,0,0.001154266,4.940489292,786.5,45.5,0,0.005,21.40099907
BC060413_162,BC,1212148.787,2304561.357,10-06-2013 12:57:36,0,0.001153385,0,785.9,45.5,0,0.005,-0.210999995
BC060413_163,BC,1212179.788,2304779.658,10-06-2013 13:04:27,0.821708202,0.000690318,0,784.2,45.6,3.571000099,0.003,-0.578000009
BC060413_164,BC,1211909.249,2304743.852,10-06-2013 13:11:14,0,0.002533747,0.517345071,785.0,45.6,0,0.011,2.246000051
BC060413_165,BC,1211775.164,2304769.432,10-06-2013 13:18:57,0,0.002768337,0.030682398,786.7,45.8,0,0.012,0.133000001
BC060413_166,BC,1211764.147,2304989.929,10-06-2013 13:25:23,0,0.001844979,0.09340208,786.7,45.9,0,0.008,0.405000001
BC060413_167,BC,1211946.88,2304986.134,10-06-2013 13:31:54,0.590173542,0.001613756,0.037577454,786.9,46.1,2.559999943,0.007,0.163000003
BC060413_168,BC,1211957.767,2304946.051,10-06-2013 13:38:30,15.21720219,0.001610286,0.993546367,785.7,46.3,66.15000153,0.007,4.318999767
BC060413_169,BC,1211945.525,2304949.315,10-06-2013 13:41:29,0.553999305,0.001608459,0.564109623,785.3,46.5,2.411000013,0.007,2.454999924
BC060413_17,BC,1209944.242,2304350.524,04-06-2013 11:05:07,0,0.000475562,0,797.9,40.7,0,0.002,-0.016000001
BC060413_170,BC,1211956.179,2304919.036,10-06-2013 13:46:35,5.777353287,0.003442589,1.075235367,785.1,46.8,25.17300034,0.015,4.684999943
BC060413_171,BC,1211983.288,2304903.305,10-06-2013 13:50:48,0.065523349,0.001374616,0,784.7,47.2,0.286000013,0.006,-0.006
BC060413_172,BC,1212011.414,2304948.88,10-06-2013 13:54:55,0,0.001144652,0.078752093,784.6,47.4,-0.463999987,0.005,0.344000012
BC060413_173,BC,1212133.994,2304961.537,10-06-2013 13:59:03,0,0.002059877,0,784.9,47.6,0,0.009,-8.973999977
BC060413_174,BC,1212119.87,2305141.201,10-06-2013 14:04:05,0,0.001142999,0.003886197,784.2,47.7,0,0.005,0.017000001
BC060413_175,BC,1211936.676,2305127.425,10-06-2013 14:09:05,0,0.002060284,0.103014216,785.3,47.7,0,0.009,0.449999988
BC060413_176,BC,1211744.541,2305106.924,10-06-2013 14:15:33,0,0.001146206,0.052266981,786.4,47.7,0,0.005,0.228
BC060413_177,BC,1212141.749,2305572.968,10-06-2013 14:24:53,0,0.002295883,0.060840901,787.1,47.5,0,0.01,0.264999986
BC060413_178,BC,1212346.569,2305561.43,10-06-2013 14:31:04,0,0.001839973,0,788.5,47.5,0,0.008,-0.425999999
BC060413_179,BC,1212339.61,2305356.226,10-06-2013 14:37:50,0,0.004359406,0.087647021,786.6,47.5,0,0.018999999,0.381999999
BC060413_18,BC,1209946.713,2304578.107,04-06-2013 11:10:10,0,0.000951125,0.066340946,797.9,40.7,0,0.004,0.279000014
BC060413_180,BC,1212304.936,2305137.625,10-06-2013 14:51:45,0,0.001607118,0,787.1,47.5,0,0.007,-0.006
BC060413_181,BC,1212349.774,2304955.646,10-06-2013 14:58:38,0,0.002972598,0.060366597,784.9,47.9,0,0.013,0.263999999
BC060413_182,BC,1212342.372,2304768.707,10-06-2013 15:05:02,0,0.002052102,0.231659487,783.4,48.2,0,0.009,1.016000032
BC060413_183,BC,1212317.097,2304560.885,10-06-2013 15:09:43,0,0.002047571,0.699586689,782.4,48.5,0,0.009,3.075000048
BC060413_184,BC,1212348.214,2304374.92,10-06-2013 15:14:29,0,0.001818102,0,781.8,48.6,0,0.008,-0.204999998
BC060413_185,BC,1212325.127,2304126.955,10-06-2013 15:21:29,0,0.002734979,0.026438132,783.8,48.5,0,0.012,0.115999997
BC060413_186,BC,1212546.367,2304183.618,10-06-2013 15:28:43,0,0.002051725,0.192406222,783.5,48.3,0,0.009,0.843999982
BC060413_187,BC,1212528.459,2304372.929,10-06-2013 15:34:33,0,0.000683761,0.402963102,782.6,48.0,0,0.003,1.768000007
BC060413_188,BC,1212578.135,2304562.392,10-06-2013 15:41:21,0.717286348,0.001822837,0.898658633,781.4,47.6,3.148000002,0.008,3.944000006
BC060413_189,BC,1212546.026,2304747.32,11-06-2013 08:32:59,0,0.00073098,0.278747201,783.5,27.6,0,0.003,1.144000053
BC060413_19,BC,1210149.576,2304807.454,04-06-2013 11:18:56,0,0.0004752,0,797.8,40.9,0,0.002,-0.409000009
BC060413_190,BC,1212535.396,2304970.066,11-06-2013 08:39:09,0,0.000971485,0.047845613,783.3,28.5,0,0.004,0.196999997
BC060413_191,BC,1212526.102,2305170.475,11-06-2013 08:50:37,0,0.001212941,0.056280468,785.5,29.7,0,0.005,0.231999993
BC060413_192,BC,1212596.176,2305120.823,11-06-2013 08:54:08,5.586918354,0.007525614,9.488342285,787.1,30.1,23.01399994,0.030999999,39.08499908
BC060413_193,BC,1212525.311,2305352.013,11-06-2013 08:59:08,0,0.000968144,0.046470933,786.3,30.7,0,0.004,0.192000002
BC060413_194,BC,1212523.49,2305557.356,11-06-2013 09:03:35,0,0.000969331,0.028837593,788.3,31.1,0,0.004,0.119000003
BC060413_195,BC,1212792.759,2305741.125,11-06-2013 09:15:10,0,0.003862661,0.203031093,787.9,32.1,0,0.016000001,0.841000021
BC060413_196,BC,1212787.454,2305498.639,11-06-2013 09:31:01,0,0.000964583,0.460347146,791.4,33.8,0,0.004,1.909000039
BC060413_197,BC,1212807.578,2305505.534,11-06-2013 09:34:44,10.28163624,0.002882836,3.703243732,789.7,34.3,42.79800034,0.012,15.41499996
BC060413_198,BC,1212789.251,2305601.55,11-06-2013 09:39:55,0,0.002396129,0.207265139,789.7,35.1,-0.356000006,0.01,0.86500001
BC060413_199,BC,1212793.103,2305955.341,11-06-2013 09:49:37,0,0.00143448,0.019604562,790.5,36.1,-0.033,0.006,0.082000002
BC060413_20,BC,1210192.078,2304566.1,04-06-2013 11:25:21,0,0.001421573,0.011135656,795.8,41.0,0,0.006,0.046999998
BC060413_200,BC,1212551.263,2305777.952,11-06-2013 09:59:13,0,0.001672221,1.029610395,791.4,36.7,-0.017999999,0.007,4.309999943
BC060413_201,BC,1212788.391,2305330.328,11-06-2013 10:09:55,12.31000805,0.003800998,1.290676475,789.8,37.8,51.81800079,0.016000001,5.433000088
BC060413_202,BC,1212772.803,2305390.501,11-06-2013 10:13:52,44.10612106,0.003779749,0.999034762,786.9,38.4,186.7050018,0.016000001,4.229000092
BC060413_203,BC,1212736.522,2305165.476,11-06-2013 10:20:21,0,0.001650025,1.503408313,787.7,39.4,0,0.007,6.377999783
BC060413_204,BC,1212718.84,2304976.283,11-06-2013 10:27:39,0,0.002109328,0.095388524,785.2,40.2,0,0.009,0.407000005
BC060413_205,BC,1212750.318,2304786.596,11-06-2013 10:32:16,0,0.004903912,0.182845861,783.6,40.7,0,0.021,0.782999992
BC060413_206,BC,1212742.588,2304555.102,11-06-2013 10:37:26,0,0.001397013,0.112459533,782.3,41.1,0,0.006,0.48300001
BC060413_207,BC,1212728.47,2304360.725,11-06-2013 10:42:12,0,0.002787079,1.540093422,781.1,41.4,0,0.012,6.631000042
BC060413_208,BC,1212741.95,2304181.95,11-06-2013 10:47:06,0,0.00139408,0,781.9,41.6,0,0.006,-0.252999991
BC060413_209,BC,1212730.847,2303967.085,11-06-2013 10:52:02,0,0.002556636,0.019523403,782.4,41.7,0,0.011,0.083999999
BC060413_21,BC,1210167.4,2304351.878,04-06-2013 11:31:40,0,0,0.004740641,796.4,41.1,0,0,0.02
BC060413_210,BC,1212921.331,2303962.434,11-06-2013 10:57:27,0,0.002318441,0.038254276,781.2,42.0,-0.034000002,0.01,0.165000007
BC060413_211,BC,1213122.401,2303931.877,11-06-2013 11:04:29,0,0.002313255,0.019431343,779.7,42.1,-0.025,0.01,0.083999999
BC060413_212,BC,1213155.118,2303940.041,11-06-2013 11:07:16,0,0.000691977,0.027448419,777.7,42.2,0,0.003,0.119000003
BC060413_213,BC,1213343.14,2303950.543,11-06-2013 11:12:04,0,0.002305997,0.052115526,777.5,42.2,0,0.01,0.225999996
BC060413_214,BC,1213552.398,2303950.067,11-06-2013 11:16:57,0,0.001839231,0.037014533,775.4,42.3,0,0.008,0.160999998
BC060413_215,BC,1213547.54,2303789.129,11-06-2013 11:21:52,0,0.00643278,0.09304557,775.1,42.4,0,0.028000001,0.405000001
BC060413_216,BC,1213740.078,2303759.187,11-06-2013 11:26:43,0,0.001609025,0.058844343,775.5,42.4,0,0.007,0.256000012
BC060413_217,BC,1213722.29,2303974.557,11-06-2013 11:32:30,0,0.002293864,0.031884719,773.9,42.4,0,0.01,0.138999999
BC060413_218,BC,1213964.505,2303969.98,11-06-2013 11:40:38,0,0.001604989,0.074517347,773.8,42.5,0,0.007,0.324999988
BC060413_219,BC,1213938.03,2304168.876,11-06-2013 11:47:11,0,0.00229139,0.036891375,773.8,42.7,0,0.01,0.160999998
BC060413_22,BC,1210164.115,2304182.892,04-06-2013 11:35:33,0,0.000949255,0.001186568,797.6,41.2,0,0.004,0.005
BC060413_220,BC,1213752.149,2304138.386,11-06-2013 11:56:55,0,0.00847776,0.139768466,774.5,43.0,0,0.037,0.610000014
BC060413_221,BC,1213738.852,2304354.133,11-06-2013 12:02:11,0,0.005046037,0,775.3,43.0,0,0.022,-0.021
BC060413_222,BC,1213562.12,2304346.978,11-06-2013 12:13:50,0,0.002529052,0.026440093,777.4,43.1,0,0.011,0.115000002
BC060413_223,BC,1213527.936,2304137.835,11-06-2013 12:18:17,0,0.002295589,0.016298685,776.2,43.1,0,0.01,0.071000002
BC060413_224,BC,1213364.314,2304150.272,11-06-2013 12:23:49,0,0.00206245,0.073560737,775.1,43.2,0,0.009,0.32100001
BC060413_225,BC,1213386.723,2304379.367,11-06-2013 12:29:16,0,0.002294864,0.003212809,776.2,43.2,0,0.01,0.014
BC060413_226,BC,1213148.395,2304346.89,11-06-2013 12:35:41,0,0.002298411,0.047117438,777.4,43.2,0,0.01,0.204999998
BC060413_227,BC,1213104.786,2304338.1,11-06-2013 12:39:05,0,0.002070699,0.039343286,778.2,43.2,0,0.009,0.171000004
BC060413_228,BC,1213109.497,2304131.8,11-06-2013 12:44:10,0,0.002072296,0.018190153,778.8,43.2,0,0.009,0.079000004
BC060413_229,BC,1213133.829,2304171.112,11-06-2013 12:47:11,0,0.001841695,0.058934242,778.9,43.3,0,0.008,0.256000012
BC060413_23,BC,1210134.796,2303989.893,04-06-2013 11:39:47,0,0.000711269,0.002845074,797.1,41.3,0,0.003,0.012
BC060413_230,BC,1212928.17,2304137.398,11-06-2013 12:56:44,0,0.004603374,0.079178028,779.0,43.4,0,0.02,0.344000012
BC060413_231,BC,1212952.299,2304352.947,11-06-2013 13:03:24,0,0.002303345,0.006449366,780.3,43.7,-0.012,0.01,0.028000001
BC060413_232,BC,1212954.076,2304561.786,11-06-2013 13:07:43,0,0.002300282,0.11225374,780.0,44.0,-0.012,0.01,0.488000005
BC060413_233,BC,1213150.996,2304564.477,11-06-2013 13:12:40,0.779753029,0.001378061,0.505059421,779.3,44.2,3.394999981,0.006,2.198999882
BC060413_234,BC,1213350.122,2304548.738,11-06-2013 13:17:18,0,0.001835658,0.021339521,778.8,44.3,-0.048999999,0.008,0.093000002
BC060413_235,BC,1213342.067,2304550.735,11-06-2013 13:19:54,0,0.005728733,0.547437727,778.0,44.4,0,0.025,2.388999939
BC060413_236,BC,1213537.562,2304572.238,11-06-2013 13:23:30,0,0.002520642,0.061182868,778.0,44.4,0,0.011,0.26699999
BC060413_237,BC,1213536.368,2304777.89,11-06-2013 13:28:52,0,0.004584488,0.027506929,778.5,44.5,0,0.02,0.119999997
BC060413_238,BC,1213376.46,2304779.493,11-06-2013 13:34:31,0,0.002989311,0.036101684,781.2,44.6,0,0.013,0.157000005
BC060413_239,BC,1213151.683,2304819.827,11-06-2013 13:38:49,1.4106251,0.003215362,7.142925739,780.5,44.7,6.142000198,0.014,31.10099983
BC060413_24,BC,1210142.967,2303775.738,04-06-2013 11:44:19,0,0.00094835,0.07112623,797.6,41.5,0,0.004,0.300000012
BC060413_240,BC,1212927.795,2304836.041,11-06-2013 13:44:48,2.534720182,0.009421897,2.351567507,781.2,44.8,11.02999973,0.041000001,10.2329998
BC060413_241,BC,1212933.464,2304761.765,11-06-2013 13:48:24,1.137562037,0.002526385,0.400776446,781.0,44.9,4.953000069,0.011,1.745000005
BC060413_242,BC,1212929.777,2304946.313,11-06-2013 13:58:20,3.179468393,0.002062952,0.422217607,779.7,45.0,13.87100029,0.009,1.842000008
BC060413_243,BC,1213148.858,2304977.054,11-06-2013 14:06:22,0,0.002987671,0.040218651,782.0,45.1,0,0.013,0.174999997
BC060413_244,BC,1213350.441,2304940.956,11-06-2013 14:13:00,0,0.002070139,0.103966996,783.4,45.4,0,0.009,0.451999992
BC060413_245,BC,1213551.371,2304988.97,11-06-2013 14:19:06,0,0,0.007579938,782.8,45.6,0,-0.002,0.033
BC060413_246,BC,1213760.271,2304966.999,11-06-2013 14:22:53,0,0.001602639,0.005952658,780.5,45.7,0,0.007,0.026000001
BC060413_25,BC,1210145.599,2303577.611,04-06-2013 11:48:08,0,0.001421894,0.17821075,797.5,41.6,0,0.006,0.751999974
BC060413_26,BC,1210139.825,2303388.012,04-06-2013 11:51:21,0,0.001183941,0.025099559,797.1,41.7,0,0.005,0.105999999
BC060413_27,BC,1210365.395,2303983.875,04-06-2013 12:15:31,0,0.003308927,0.053415537,797.4,42.4,0,0.014,0.225999996
